tahun,kota_kabupaten,kecamatan,kelurahan,jenis_kelamin,jumlah
2017,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,Laki-laki,1638
2017,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,Laki-laki,1721
2017,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,Laki-laki,605
2017,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,Laki-laki,574
2017,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,Laki-laki,1369
2017,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,Laki-laki,843
2017,JAKARTA PUSAT,GAMBIR,GAMBIR,Laki-laki,845
2017,JAKARTA PUSAT,GAMBIR,CIDENG,Laki-laki,5031
2017,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Laki-laki,5460
2017,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Laki-laki,4830
2017,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Laki-laki,3416
2017,JAKARTA PUSAT,GAMBIR,DURI PULO,Laki-laki,6256
2017,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Laki-laki,4115
2017,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Laki-laki,8609
2017,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Laki-laki,7201
2017,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Laki-laki,5139
2017,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Laki-laki,9842
2017,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Laki-laki,6726
2017,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Laki-laki,9022
2017,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Laki-laki,7136
2017,JAKARTA PUSAT,KEMAYORAN,SERDANG,Laki-laki,9541
2017,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Laki-laki,6131
2017,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Laki-laki,10518
2017,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Laki-laki,7345
2017,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Laki-laki,9590
2017,JAKARTA PUSAT,SENEN,SENEN,Laki-laki,2424
2017,JAKARTA PUSAT,SENEN,KENARI,Laki-laki,2927
2017,JAKARTA PUSAT,SENEN,PASEBAN,Laki-laki,7529
2017,JAKARTA PUSAT,SENEN,KRAMAT,Laki-laki,9400
2017,JAKARTA PUSAT,SENEN,KWITANG,Laki-laki,4778
2017,JAKARTA PUSAT,SENEN,BUNGUR,Laki-laki,6083
2017,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,Laki-laki,7589
2017,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Laki-laki,11095
2017,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Laki-laki,6917
2017,JAKARTA PUSAT,MENTENG,MENTENG,Laki-laki,7872
2017,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Laki-laki,7182
2017,JAKARTA PUSAT,MENTENG,CIKINI,Laki-laki,2568
2017,JAKARTA PUSAT,MENTENG,GONDANGDIA,Laki-laki,1183
2017,JAKARTA PUSAT,MENTENG,KEBON SIRIH,Laki-laki,4163
