"","x"
"1",19168
"2",21472
"3",22479
"4",224
"5",145
"6",56
"7",59
"8",3
"9",6
"10",NA
"11",343
"12",46
"13",37
"14",10
"15",26661
"16",20
"17",1
"18",17
"19",4673
"20",6
"21",6
"22",NA
"23",1
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",1
"31",NA
"32",NA
"33",NA
"34",NA
"35",5
"36",9
"37",NA
"38",NA
"39",1
"40",NA
"41",NA
"42",10
"43",NA
"44",21
"45",5
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",NA
"55",NA
"56",NA
"57",NA
"58",NA
"59",NA
"60",NA
"61",NA
"62",NA
"63",NA
"64",17
"65",380
"66",NA
"67",9
"68",NA
"69",2
"70",1
"71",2
"72",34
"73",19
"74",34
"75",NA
"76",NA
"77",NA
"78",NA
"79",411
"80",NA
"81",532
"82",NA
"83",2
"84",1144
"85",NA
"86",NA
"87",NA
"88",9497
"89",NA
"90",307
