tahun,nama_provinsi,nama_kabupaten/kota,nama_kecamatan,nama_kelurahan,usia,jenis_kelamin,jumlah_penduduk
2015,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,0-4,Laki-laki,310
2015,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,0-4,Laki-laki,324
2015,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,0-4,Laki-laki,95
2015,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,0-4,Laki-laki,118
2015,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,0-4,Laki-laki,244
2015,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,0-4,Laki-laki,134
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,0-4,Laki-laki,86
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,0-4,Laki-laki,655
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,0-4,Laki-laki,767
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,0-4,Laki-laki,648
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,0-4,Laki-laki,418
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,DURI PULO,0-4,Laki-laki,957
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,0-4,Laki-laki,482
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,0-4,Laki-laki,1306
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARTINI,0-4,Laki-laki,952
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,0-4,Laki-laki,638
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,0-4,Laki-laki,1395
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,0-4,Laki-laki,981
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,0-4,Laki-laki,1446
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,0-4,Laki-laki,1173
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,SERDANG,0-4,Laki-laki,1514
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,0-4,Laki-laki,891
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,0-4,Laki-laki,1649
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,0-4,Laki-laki,1112
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,0-4,Laki-laki,1551
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,SENEN,0-4,Laki-laki,337
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,KENARI,0-4,Laki-laki,362
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,PASEBAN,0-4,Laki-laki,1119
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,KRAMAT,0-4,Laki-laki,1366
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,KWITANG,0-4,Laki-laki,771
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,0-4,Laki-laki,816
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,0-4,Laki-laki,1024
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,0-4,Laki-laki,1663
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,0-4,Laki-laki,964
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,MENTENG,0-4,Laki-laki,1116
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,PEGANGSAAN,0-4,Laki-laki,1065
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,0-4,Laki-laki,390
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,GONDANGDIA,0-4,Laki-laki,160
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,KEBON SIRIH,0-4,Laki-laki,594
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,0-4,Laki-laki,136
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,0-4,Laki-laki,870
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,0-4,Laki-laki,991
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,0-4,Laki-laki,1834
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,0-4,Laki-laki,1691
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,0-4,Laki-laki,1044
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,0-4,Laki-laki,552
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,0-4,Laki-laki,1786
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,0-4,Laki-laki,1136
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,GALUR,0-4,Laki-laki,991
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,0-4,Laki-laki,1857
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,0-4,Laki-laki,5223
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,0-4,Laki-laki,614
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,0-4,Laki-laki,1672
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,0-4,Laki-laki,3587
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PLUIT,0-4,Laki-laki,1895
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,0-4,Laki-laki,1874
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,0-4,Laki-laki,3144
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,0-4,Laki-laki,2232
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,0-4,Laki-laki,1577
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,0-4,Laki-laki,2855
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,0-4,Laki-laki,3296
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,0-4,Laki-laki,2473
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,KOJA,0-4,Laki-laki,1616
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU UTARA,0-4,Laki-laki,4034
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,LAGOA,0-4,Laki-laki,3403
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,0-4,Laki-laki,1935
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU SELATAN,0-4,Laki-laki,2323
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,0-4,Laki-laki,2397
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,0-4,Laki-laki,2635
