tahun,provinsi,nama_kabupaten,nama_kecamatan,nama_kelurahan,usia,jenis_kelamin,jumlah 
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,0-4,Laki-Laki,47
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,05-09,Laki-Laki,110
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,10-14,Laki-Laki,106
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,15-19,Laki-Laki,130
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,20-24,Laki-Laki,125
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,25-29,Laki-Laki,140
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,30-34,Laki-Laki,142
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,35-39,Laki-Laki,144
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,40-44,Laki-Laki,153
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,45-49,Laki-Laki,154
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,50-54,Laki-Laki,136
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,55-59,Laki-Laki,84
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,60-64,Laki-Laki,82
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,65-69,Laki-Laki,24
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,70-75,Laki-Laki,39
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,>75,Laki-Laki,29
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,0-4,Laki-Laki,506
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,05-09,Laki-Laki,686
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,10-14,Laki-Laki,679
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,15-19,Laki-Laki,686
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,20-24,Laki-Laki,703
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,25-29,Laki-Laki,692
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,30-34,Laki-Laki,815
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,35-39,Laki-Laki,836
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,40-44,Laki-Laki,789
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,45-49,Laki-Laki,826
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,50-54,Laki-Laki,755
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,55-59,Laki-Laki,618
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,60-64,Laki-Laki,471
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,65-69,Laki-Laki,307
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,70-75,Laki-Laki,210
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,>75,Laki-Laki,223
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,0-4,Laki-Laki,576
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,05-09,Laki-Laki,814
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,10-14,Laki-Laki,889
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,15-19,Laki-Laki,898
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,20-24,Laki-Laki,821
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,25-29,Laki-Laki,827
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,30-34,Laki-Laki,943
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,35-39,Laki-Laki,985
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,40-44,Laki-Laki,881
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,45-49,Laki-Laki,905
