tahun,provinsi,kabupaten,kecamatan,kelurahan ,kewarganegaraan,jenis_kelamin,jumlah
2017,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,WNI,Laki-laki,3426
2017,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,WNI,Laki-laki,3546
2017,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,WNI,Laki-laki,1241
2017,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,WNI,Laki-laki,1204
2017,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,WNI,Laki-laki,2797
2017,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,WNI,Laki-laki,1688
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,WNI,Laki-laki,1645
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,WNI,Laki-laki,9802
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,WNI,Laki-laki,11224
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,WNI,Laki-laki,9333
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,WNI,Laki-laki,6642
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,WNI,Laki-laki,12961
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,WNI,Laki-laki,7977
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,WNI,Laki-laki,17071
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARTINI,WNI,Laki-laki,14284
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,WNI,Laki-laki,10264
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,WNI,Laki-laki,18761
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,WNI,Laki-laki,13274
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,WNI,Laki-laki,17961
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,WNI,Laki-laki,14502
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SERDANG,WNI,Laki-laki,18765
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,WNI,Laki-laki,12387
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,WNI,Laki-laki,20721
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,WNI,Laki-laki,14239
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,WNI,Laki-laki,18866
2017,DKI Jakarta,JAKARTA PUSAT,SENEN,SENEN,WNI,Laki-laki,4532
2017,DKI Jakarta,JAKARTA PUSAT,SENEN,KENARI,WNI,Laki-laki,5859
2017,DKI Jakarta,JAKARTA PUSAT,SENEN,PASEBAN,WNI,Laki-laki,14851
2017,DKI Jakarta,JAKARTA PUSAT,SENEN,KRAMAT,WNI,Laki-laki,18914
2017,DKI Jakarta,JAKARTA PUSAT,SENEN,KWITANG,WNI,Laki-laki,9574
2017,DKI Jakarta,JAKARTA PUSAT,SENEN,BUNGUR,WNI,Laki-laki,11794
2017,DKI Jakarta,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,WNI,Laki-laki,14727
2017,DKI Jakarta,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,WNI,Laki-laki,21745
2017,DKI Jakarta,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,WNI,Laki-laki,13292
2017,DKI Jakarta,JAKARTA PUSAT,MENTENG,MENTENG,WNI,Laki-laki,15878
2017,DKI Jakarta,JAKARTA PUSAT,MENTENG,PEGANGSAAN,WNI,Laki-laki,14648
