Title,Authors,Co-authors,Editors,Illustrators,Publisher,Edition,Year,Volume,ISBN,ISBN13,ISSN,"Call No",Category,Subject,Type,Description,Tags,Series
" Modern Architecture Volume 1 (History of World Architecture)",,"Manfredo Tafuri; Francesco Dal Co",,,"Faber And Faber","New Ed",1987,,0571145760,9780571145768,,J3,Architecture,,Book,,"Photography & Video, History",
"""arsitektur adalah kegelisahan""","dpavilion architects",,,,"dpavilion press",,,,,9789791711609,,J1,,,Book,,,
"""Masyarakat Terbuka dan Tantangannya di Indonesia"". Kumpulan Makalah Diskusi Paralel HUT ke-10 Yayasan Tifa",,,,,"Yayasan TIFA",,2010,,,,,C1,,,Book,,,
"(Mimpi) Anggaran untuk Rakyat Miskin: Arah dan Strategi Pengelolaan APBN dari Era Orde Baru Hingga Era Reformasi",,,,,"Dompet Dhuafa",,2016,,,9786027807648,,F3,"Indonesian Studies",,Publication,,,
"[Menyiasati] Kota tanpa Warga","Jo Santoso",,,,"Kepustakaan Populer Gramedia",,2006,,9799100550,,,D1,"Urbanism, Indonesian City",,Book,,,
"@rchipelago online. The Internet and Political Activism in Indonesia","Merlyna Lim",,,,,,2005,,,9789036522298,,H3,"Social Activism",,Book,,,
#JKT,,,,,"Rujak Center for Urban Studies",,,,,,,A1,Urbanism,,Book,,Jakarta,
"100 Tahun Bung Karno",,,"Joesoef Isak",,"Hasta Mitra",,,,9798659228,,,B2,,,Book,,,
"100 Tahun SD Kartini Semarang: 1913 - 2013","Bambang Eryudhawan",,,,,,2013,,,,,I3,,,Book,,,
"1001 Menteng. Info & Directory 2012",Menteng-GRIP,,,,"PT Nugra Media Adika",,,,,9786029503630,,F2,,,Book,,,
"101 Things to Do Before You're Old and Boring","Helen Szirtes",,,,"Bloomsbury Publishing PLC","UK ed.",2005,,0747580995,9780747580997,,B2,Unknown,,Book,"So much to do, so little time, so best to start early. Full of things to make, achieve, learn (and some things you shouldn't learn) this is the perfect handbook for any child who wants to revel in being young and not-boring. Can you Make an origami frog? Lie convincingly? Operate as a spy? Parents may need these skills (not origami) to wrest their child's copy from them and indulge in all the fun they should have had - from Amzon","Children's Books, Humor, Beauty, Grooming, & Style",
"1965: Indonesia and The World: Bilingual Edition (Indonesian and English Edition)","Bernd Schaefer",,,,"Gramedia Pustaka Utama",,2013,,979229872X,9789792298727,,I2,Unknown,,Book,"Indonesian Sinopsis:  INDONESIA DAN DUNIA Pada tahun 1965-66, salah satu tragedi kemanusiaan terburuk dalam sejarah modern berlangsung di Indonesia. Sekitar 500.000 sampai 1.000.000 orang tewas dibunuh karena dicurigai mendukung kudeta komunis. Sampai sekarang dimensi internasional rangkaian kejadian itu belum didalami. Meskipun dari segi pe lak sa­naan tergolong urusan dalam negeri, keseluruhan peristiwa tersebut ber­lang sung dalam konteks Perang Dingin global. Negara­negara asing bukanlah pengamat yang netral: Dalam rangka mengamankan kepentingan masing­masing, negara­negara itu memberikan dukungan kepada kelompok­kelompok Indonesia yang tengah bertikai--dan semuanya menyalahkan pihak lain atas tragedi yang terjadi. (gramediana.com/books/detail/20701130007-1965-indonesia-and-the-world?locale=en)              <div></div><div><i>English Synopsis: INDONESIA AND THE WORLD In 1965-66 one of the worst human tragedies in modern history occurred in Indonesia. On suspicion of having supported a communist coup, approximately 500,000 to 1,000,000 people were killed. So far the international dimension of those events is hardly explored. Although they were domestic by execution, they were also firmly embedded into the global Cold War. Foreign countries were anything but passive onlookers: They sided with Indonesian conflict parties and staked out their own claims--and they all blamed others for the tragedy.</i></div> - from Amzon",,
