"","Title","Authors","Co.authors","Editors","Illustrators","Publisher","Edition","Year","Volume","ISBN","ISBN13","ISSN","Call.No","Category","Subject","Type","Description","Tags","Series"
"7","#JKT","","","","","Rujak Center for Urban Studies","",NA,NA,"",NA,"","A1","Urbanism",NA,"Book","","Jakarta",""
"30","A Guide to George Town's Historic Commmercial and Civic Precints","","","","","","2nd",2015,NA,"",NA,"","A1","History",NA,"Publication","","History, Malaysia, Architecture",""
"80","An Afternoon Walk & Domino Competition in Kampung Arab","","","","","Ayorek!","001",2013,NA,"",9772338873007,"","A1","Journalism",NA,"Journal","","surabaya, kampungarab",""
"127","Atas Nama Pembangunan: Laporan Penggusuran Paksa di Wilayah DKI Jakarta Tahun 2015","","","","","Lembaga Bantuan Hukum (LBH) Jakarta","",2016,NA,"",9786027345140,"","A1","Urbanism, Indonesian City",NA,"Book","","penggusuran, jakarta",""
"179","Beyond The Procedure: The Universal Periodic Review As A Catalyst For Public Debate on Human Rights","","","","","Friedrich Ebert Stiftung","",2016,NA,"",9783958617414,"","A1","Law",NA,"Book","","debate, public, humanrights",""
"206","BUKU PANDUAN CAP (Community Action Plan) - Rencana Tindak Warga","","","","","Jaringan Rakyat Miskin Kota","",NA,NA,"",NA,"","A1","Urbanism, Indonesian City",NA,"Book","","cap, community, action, plan, warga, komunitas",""
"226","Caring for your Heritage Building","","","","","UNESCO Jakarta","",NA,NA,"",NA,"","A1","Literature",NA,"Publication","","heritage, building",""
"255","Clay","","","","","George Town World Heritage Incorporated","3rd",2013,NA,"",NA,"","A1","Publication",NA,"Publication","","Architecture","Introduction to Heritage Building Materials"
"410","George Town A-Z","","","","","George Town World Heritage Incorporated","",NA,NA,"",NA,"","A1","Anthropology",NA,"Publication","","Anthropology, Malaysia, History",""
"411","George Town World Heritage","","","","","George Town World Heritage Incorporated","",NA,NA,"",NA,"","A1","Unknown",NA,"Publication","","heritage, voc, batavia, cultural, street",""
"412","George Town's Northam Road Protestant Cemetery","","","","","George Town World Heritage Incorporated","",NA,NA,"",NA,"","A1","History",NA,"Publication","","History, Malaysia, Architecture",""
"433","Green Map Bukittinggi","","","","","","",NA,NA,"",NA,"","A1","Geography",NA,"Publication","","greenmap, geography, bukittinggi",""
"471","Historic City of George Town World Heritage Site","","","","","","3rd",2014,NA,"",NA,"","A1","History",NA,"Publication","","History, Malaysia, Architecture",""
"578","JAKARTA PETRODOLLAR: Transisi dari Energi Tak Terbarukan Menuju ke Kelestarian","","","","","Rujak Center for Urban Studies","",2011,NA,"",NA,"","A1","Geoscience",NA,"Book","","energy, transition, jakarta, petrodollar",""
"593","Jelajah Keanekaragaman Hayati Ciliwung 2013","","","","","","",2013,NA,"",NA,"","A1","Ecology",NA,"Book","","",""
"737","Lime","","","","","George Town World Heritage Incorporated","3rd",2014,NA,"",NA,"","A1","Architecture",NA,"Publication","","Architecture","Introduction to Heritage Building Materials"
"753","Makalah Kebijakan: Selamatkan Teluk Jakarta","","","","","Koalisi Pakar Interdisiplin","",2017,NA,"",NA,"","A1","Social Activism",NA,"Book","","",""
"776","Marking George Town","","","","","Valiz","",NA,NA,"",NA,"","A1","Urbanism",NA,"Publication","","Malaysia, Graffiti",""
"819","Menulis Kota: Tentang Kota dan Warga","","","","","Rujak Center for Urban Studies and Kekini","",2017,NA,"",NA,"","A1","Urbanism",NA,"Book","","",""
"820","Menulis Untuk Mengingat: Catatan Penghuni Rusunawa Jatinegara","","","","","Islam Bergerak","",2016,NA,"",NA,"","A1","Journalism",NA,"Book","","rusunawa",""
"864","Nafas Baru Kota Bersejarah","","","","","UNESCO","",2013,NA,"",NA,"","A1","Urbanism",NA,"Book","","history, sejarah, kota, landscape",""
"928","pedoman penyediaan dan pemanfaatan ruang terbuka non hijau di wilayah kota/kawasan perkotaan","","","","","Direktorat Jenderal Penataan Ruang Departemen Pekerjaan Umum","",NA,NA,"",NA,"","A1","",NA,"Book","","",""
"947","Penang Peranakan","","","","","","",NA,NA,"",NA,"","A1","Anthropology",NA,"Publication","","Anthropology, History",""
"965","Peran Hutan Dalam Pengendalian Perubahan Iklim","","","","","Dewan Nasional Perubahan Iklim","",NA,NA,"",NA,"","A1","Ecology",NA,"Publication","","",""
"1044","Program Pesanggrahan Bumi Pemuda Rahayu 2013-2014","","","","","Bumi Pemuda Rahayu","",2014,NA,"",NA,"","A1","Journalism",NA,"Book","","program, bumipemudarahayu",""
"1045","Program Pesanggrahan Bumi Pemuda Rahayu 2014-2015","","","","","Bumi Pemuda Rahayu","",2015,NA,"",NA,"","A1","Journalism",NA,"Book","","program, bumipemudarahayu",""
"1096","RMOL: Langkah Kuda Anies Baswedan","","","","","PT Wahana Multimedia","005",2018,NA,"",9772581294772,"","A1","Journalism",NA,"Publication","","anies, jakarta, gubernur",""
"1156","Seperti Puing","","","","","Lembaga Bantuan Hukum (LBH) Jakarta","",2017,NA,"",9786021756270,"","A1","Urbanism, Indonesian City",NA,"Book","","penggusuran, jakarta",""
"1199","Stone","","","","","George Town World Heritage Incorporated","3rd",2014,NA,"",NA,"","A1","Architecture",NA,"Publication","","Architecture","Introduction to Heritage Building Materials"
"1288","The Clan Jetties of George Town","Clement Liang","","","","George Town World Heritage Incorporated","",NA,NA,"",NA,"","A1","Anthropology",NA,"Publication","","Clan, anthropology, Malaysia",""
"1322","The Hul Guidebook: Managing Heritage in Dynamic and Constantly Changing Urban Environments","","","","","UNESCO","",2016,NA,"",NA,"","A1","Urbanism",NA,"Book","","guidebook, heritage, urban, environment, landscape",""
"1414","Timber","","","","","George Town World Heritage Incorporated","3rd",2013,NA,"",NA,"","A1","Architecture",NA,"Publication","","Architecture","Introduction to Heritage Building Materials"
"1416","Tiong Bahru Heritage Trail","","","","","","",NA,NA,"",NA,"","A1","History",NA,"Publication","","History, Tiong Bahru, Culture",""
"1418","Titik Temu: Jejak Peradaban di Tepi Batanghari. Pameran Foto, Artefak, Filem Dokumenter dan Diskusi Situs Muarajambi","Marco Kusumawijaya","Jakob Oetama","","","Perhimpunan Pelestarian Muarajambi","1",2006,NA,"",NA,"","A1","Indonesian Studies",NA,"Publication","","",""
"1483","Value your Shophouse Style","","","","","","",2015,NA,"",NA,"","A1","Architecture",NA,"Publication","","Architecture, Shophouse",""
"1492","Warisan Muslim di George Town","","","","","George Town World Heritage Incorporated","",2013,NA,"",NA,"","A1","History",NA,"Publication","","History, Malaysia, Architecture",""
"1517","Zonasi Taman Nasional Wakatobi","","","","","Kabupaten Wakatobi","",NA,NA,"",NA,"","A1","Ecology",NA,"Publication","","",""
