"","Title","Authors","Co.authors","Editors","Illustrators","Publisher","Edition","Year","Volume","ISBN","ISBN13","ISSN","Call.No","Category","Subject","Type","Description","Tags","Series"
"24","9 Jurus Merancang Peraturan untuk Transformasi Sosial: Sebuah Manual untuk Praktisi","","","","","Pusat Studi Hukum dan Kebijakan Indonesia (PSHK)","",2007,NA,"",9789799936936,"","B1","Law",NA,"Book","","",""
"53","Acting Asian. Contradictions in a Globalizing World","","","Myra Theresa Torralba","","Japan Foundation","",2005,NA,"",NA,"","B1","",NA,"Book","","",""
"56","Advokasi HIV AIDS. Pengalaman Koalisi GDP Jawa bersama San!. Sebuah Perjalanan dan Refleksi. ""A Journey of Learning and Reflection"".","Titiek Kartika Hendrastiti","","","","","",NA,NA,"",9789791916158,"","B1","",NA,"Book","","",""
"88","Anggaran Negara yang Melibatkan Rakyat","Jamal Bake; Muhamad Abas","","","","Forum Indonesia untuk Transparasi Anggaran","",2001,NA,"979959118X",NA,"","B1","",NA,"Book","","",""
"149","Beberapa Segi Perkembangan Sejarah Pers di Indonesia ","","","","","Penerbit Buku Kompas","",2002,NA,"9797090132",NA,"","B1","",NA,"Book","","",""
"162","Berbagi Pengalaman Advokasi Masyarakat dalam Mendorong Hak Akses Informasi, Hak Partisipasi, dan Hak Akses Terhadap Keadilan dalam Penataan Ruang di DKI Jakarta","Matthew Michelle Lenggu, S.H.; Yunita, S.H., LL.M.","","","","Lembaga Bantuan Hukum (LBH) Jakarta","",2016,NA,"",9786027345195,"","B1","",NA,"Book","","",""
"172","Berpihak pada Kewajaran: Antologi Pemikiran Sudirman Said","","","Agus Mokamat","","Institut Harkat Negeri","",2017,NA,"",NA,"","B1","",NA,"Book","","",""
"202","Buddhism in Nusantara","Bambang Budi Utomo","","","","Buddhist Education Centre","",2012,NA,"",9789791815512,"","B1","",NA,"Book","","",""
"230","Cendekiawan Dan Kekuasaan Dalam Negara Orde Baru","","","","","Gramedia Pusataka Utama","",NA,NA,"9792203095",9789792203097,"","B1","Unknown",NA,"Book","","",""
"276","Constructive Engagement. Building a People-Oriented Community","","","","","ASEAN Secretariat","",2010,NA,"",9786028411639,"","B1","",NA,"Book","","",""
"290","Cultural Policing in Dakshina Kannada. Vigilante Attacks on Women and Minorities, 2008-09","","","","","PUCL-K","",2009,NA,"",NA,"","B1","",NA,"Book","","",""
"304","Demokrasi di Atas Pasir","","","Willy Purna Samadhi; Nicolaas Warouw","","PCD Press","",2009,NA,"",9789791704922,"","B1","",NA,"Book","","",""
"380","First Things First","Stephen R. Covey; A. Roger Merrill; Rebecca R. Merrill","","","","Simon & Schuster","1",1994,NA,"0671864416",9780671864415,"","B1","Unknown",NA,"Book","Drawing on the principles of <IT>The 7 Habits of Highly Effective People, <RO>this revolutionary guide to time management espouses a balanced life based on genuine relationships and the principles of effectiveness and leadership. 125,000 first printing. - from Amzon","Management, Time Management, Parenting & Relationships, Religion & Spirituality, Science Fiction",""
"429","Good Work","E. F. Schumacher; Peter N. Gillingham","","","","HarperCollins","",1980,NA,"0060905611",9780060905613,"","B1","Unknown",NA,"Book","Indicates directions individuals can take to make a workable future for themselves, stressing that man can control and redirect technology and large institutions by recognizing the importance of the human being - from Amzon","Personal Transformation, Social Sciences, Sociology",""
"439","Grow Your Own Leaders: How to Identify, Develop, and Retain Leadership Talent","William C. Byham; Audrey B. Smith; Matthew J. Paese","","","","Pearson FT Press","1",2002,NA,"013009398X",9780130093981,"","B1","Unknown",NA,"Book","<P>Today's enterprises face a profound leadership crisis - and the speed of business has far outstripped conventional executive development systems. In <I>Grow Your Own Leaders</I>, three world-renowned experts introduce an entirely new approach for identifying tomorrow's leaders within your own organization, accelerating their development, and deploying them immediately, to address new challenges wherever they emerge.  </P> - from Amzon","Leadership, Management, Human Resources & Personnel Management",""
"457","Harus bisa! Seni Memimpin ala SBY : catatan harian Dino Patti Djalal","Dino Patti Djalal","","","","R&W","",2017,NA,"9791008108",9789791008105,"","B1","Unknown",NA,"Book","","",""
"524","Indonesia abad XXI","","","","","Penerbit Harian Kompas","",2000,NA,"9799251451",9789799251459,"","B1","Unknown",NA,"Book","Socioeconomic and political condition of Indonesia in the 21st century; collection of articles. - from Amzon","",""
"528","Indonesia dalam Krisis 1997-2002","","","Salomo Simanungkalit","","PT Kompas Media Nusantara","",2002,NA,"9797090469",NA,"","B1","",NA,"Book","","",""
"532","Indonesia Kita","Nurcholish Madjid","","","","Universitas Paramadina","",2004,NA,"9799820103",NA,"","B1","",NA,"Book","","",""
"548","Inter-Asia Roundtable 2010. Transnational Migration and Children in Asian Contexts","","","Lai Ah Eng; Saharah Abubakar; Valerie Yeo","","Asia Research Institute","",2010,NA,"",NA,"","B1","",NA,"Publication","","",""
"562","Islam dan Liberalisme","Budhy Munawar-Rachman","","","","Friedrich Naumann Stiftung","",2011,NA,"",9789791157315,"","B1","",NA,"Book","","",""
"563","Islam, Pancasila dan Asas Tunggal","Deliar Noer","","","","Yayasan Perkhidmatan","",1983,NA,"",NA,"","B1","",NA,"Book","","",""
"622","Jurnalis Berkisah. Memetik Inspirasi Perjalanan Karier 10 Jurnalis Terkemuka Indonesia","Yus Ariyanto","","","","Metagraf","",2012,NA,"",9786029212310,"","B1","",NA,"Book","","",""
"623","Jurnalisme Era Digital. Tantangan Industri Media Abad 21","Ignatius Haryanto","","","","Penerbit Buku Kompas","",2014,NA,"",9789797098278,"","B1","",NA,"Book","","",""
"637","Kalam. Jurnal Kebudayaan","","","","","Yayasan Kalam","",2005,NA,"",NA,"08547866","B1","",NA,"Journal","","",""
"672","Ketika Sensor Tak Mati-mati","","","Ignatius Haryanto","","Yayasan Kalam","",2007,NA,"",9789791688826,"","B1","",NA,"Book","","",""
"730","Leadership Success in China: An Expatriate's Guide","William C. Byham Ph.D.; Erik Duerring; Yue-er Luo","","","","DDI Press","1st",2008,NA,"0976151448",9780976151449,"","B1","Unknown",NA,"Book","The Opportunity of a Lifetime China s recent economic development has been nothing short of phenomenal. For the Western leader assigned to the Chinese mainland, the career opportunities are unsurpassed. Expatriates have the privilege of playing a pivotal role in one of the most exciting economic and cultural transformations in recent world history. The time spent leading and managing in China will prove to be one of the most challenging, dynamic, and personally rewarding assignments an expatriate could hope to imagine. Leadership Success in China: An Expatriate s Guide is written for expatriate leaders who want to jump-start their China career and quickly get up and running in their new environment. The complexities of managing a team steeped in a culture vastly different from the expatriate s own cannot be underestimated. Some tried-and-true Western business practices can be applied; others will fall flat in the face of China s cultural differences. Still other, unique practices heretofore unknown to the expatriate leader might be a better fit. Leadership Success in China: An Expatriate s Guide details what techniques and practices will work for expatriates in China and how others, such as performance management and selection, will need to be augmented for the Chinese culture. It also notes the traps and pitfalls for the expatriate to avoid. This book is a practical, must-have handbook for leaders charged with building a productive, trusting, empowered team in China that can achieve the business and strategic goals set forth by the head office. Who Should Read It Leadership Success in China: An Expatriate s Guide is written for executives, managers, and human resource professionals who are on assignment or soon will be in mainland China and those who will interact frequently with Chinese as part of their managerial role. - from Amzon","",""
"736","Liberalisme Arab","","","Clemens Recker","","Friedrich Naumann Stiftung","",2011,NA,"",9789791157339,"","B1","",NA,"Book","","",""
"740","Living Together. International Literary Biennale 2005","","","","","Yayasan Kalam","",2005,NA,"",NA,"","B1","",NA,"Book","","",""
"761","Managing Change (Lessons Learned)","Fifty Lessons","","","","Harvard Business Review Press","1",2007,NA,"1422118584",9781422118580,"","B1","Unknown",NA,"Book","<div>Wondering how the most accomplished leaders from around the globe have tackled their toughest challenges? Now you can find outwith Lessons Learned. Concise and engaging, each volume in this new series offers 12-14 insightful essays by top leaders in industry, the public sector, and academia on the most pressing issues they’ve faced. The contributors share surprisingly personal anecdotes and offer authoritative and practical advice drawn from their years of hard-earned experience.<BR><br>The series launches with three volumes, each of which centers on a timely topic:<BR>·        Leading by Example<BR>·        Managing Your Career<BR>·        Managing Change<BR><br>A crucial resource for today’s busy executive, Lessons Learned gives you instant access to the wisdom and expertise of the world’s most talented leaders.<BR><br>50 Lessons’ digital library holds more than 500 individual lessons from over 100 high-profile leaders from industry, the public sector, and academia from companies and institutions around the world.</div> - from Amzon","Management, Organizational Change, Structural Adjustment",""
"766","Mandela's Way: Lima Belas Pelajaran tentang Hidup, Cinta, dan Keberanian","Richard Stengel","","","","Penerbit Erlangga","",2010,NA,"",9789790754928,"","B1","",NA,"Book","","",""
"775","Marketing Places","Philip Kotler","","","","Free Press","First Edition Later Printing",1993,NA,"0029175968",9780029175965,"","B1","Unknown",NA,"Book","<P> Today's headlines report cities going bankrupt, states running large deficits, and nations stuck in high debt and stagnation. Philip Kotler, Donald Haider, and Irving Rein argue that thousands of ""places"" -- cities, states, and nations -- are in crisis, and can no longer rely on national industrial policies, such as federal matching funds, as a promise of jobs and protection. When trouble strikes, places resort to various palliatives such as chasing grants from state or federal sources, bidding for smokestack industries, or building convention centers and exotic attractions. The authors show instead that places must, like any market-driven business, become attractive ""products"" by improving their industrial base and communicating their special qualities more effectively to their target markets. <P> From studies of cities and nations throughout the world, Kotler, Haider, and Rein offer a systematic analysis of why so many places have fallen on hard times, and make recommendations on what can be done to revitalize a place's economy. They show how ""place wars"" -- battles for Japanese factories, government projects, Olympic Games, baseball team franchises, convention business, and other economic prizes -- are often misguided and end in wasted money and effort. The hidden key to vigorous economic development, the authors argue, is strategic marketing of places by rebuilding infrastructure, creating a skilled labor force, stimulating local business entrepreneurship and expansion, developing strong public/private partnerships, identifying and attracting ""place compatible"" companies and industries, creating distinctive local attractions, building a service-friendly culture, and promoting these advantages effectively. <P> Strategic marketing of places requires a deep understanding of how ""place buyers"" -- tourists, new residents, factories, corporate headquarters, investors -- make their place decisions. With this understanding, ""place sellers"" -- economic development agencies, tourist promotion agencies, mayor's offices -- can take the necessary steps to compete aggressively for place buyers. This straightforward guide for effectively marketing places will be the framework for economic development in the 1990s and beyond. - from Amzon","Development & Growth, Hospitality, Travel & Tourism, Global, Industrial, Research",""
"795","Membuka cakrawala: 25 tahun Indonesia dan dunia dalam tajuk Kompas","P. Swantoro","","","","Gramedia","",1990,NA,"9794038970",9789794038970,"","B1","Unknown",NA,"Book","","",""
"796","Membunyikan Lonceng Kematian. (Pelumpuhan Hak atas Pangan 34.119 orang di Jawa Tengah)","","","Siti Rakhma Mary Herawati; Eti Oktaviani","","","",NA,NA,"",NA,"","B1","",NA,"Book","","",""
"856","Museum and Urban Anthropology","International Conference on Museum and Urban Anthropology","","","","Vietnam Museum of Ethnology","",2009,NA,"",NA,"","B1","",NA,"Publication","","",""
"916","Panduan ZISWAF (Zakat, Infak, Sedekah dan Wakaf) Praktis","","","","","Yayasan Dompet Dhuafa Republika","",NA,NA,"",NA,"","B1","",NA,"Book","","",""
"945","Penal Colony","","","Manshur Zikri","","Forum Lenteng","",2017,NA,"",9786027130951,"","B1","",NA,"Book","","",""
"958","Pengorganisasian Rakyat & Hal-Hal yang Belum Selesai: Belajar Bersama ArkomJogja","Marsen Sinaga","","","","INSISTPress","",2017,NA,"",9786020857381,"","B1","",NA,"Book","","",""
"961","Pengujian Undang-Undang dan Proses Legislasi","M. Nur Sholikin; Erni Setyowati; Rival Gulam Ahmad; Anna Christina Sinaga","","","","Pusat Studi Hukum dan Kebijakan Indonesia (PSHK)","",2007,NA,"",9789799936943,"","B1","Law",NA,"Book","","",""
