"","Title","Authors","Co.authors","Editors","Illustrators","Publisher","Edition","Year","Volume","ISBN","ISBN13","ISSN","Call.No","Category","Subject","Type","Description","Tags","Series"
"8","100 Tahun Bung Karno","","","Joesoef Isak","","Hasta Mitra","",NA,NA,"9798659228",NA,"","B2","",NA,"Book","","",""
"11","101 Things to Do Before You're Old and Boring","Helen Szirtes","","","","Bloomsbury Publishing PLC","UK ed.",2005,NA,"0747580995",9780747580997,"","B2","Unknown",NA,"Book","So much to do, so little time, so best to start early. Full of things to make, achieve, learn (and some things you shouldn't learn) this is the perfect handbook for any child who wants to revel in being young and not-boring. Can you Make an origami frog? Lie convincingly? Operate as a spy? Parents may need these skills (not origami) to wrest their child's copy from them and indulge in all the fun they should have had - from Amzon","Children's Books, Humor, Beauty, Grooming, & Style",""
"86","Analisis anggaran negara: Prioritas, realisasi, dan strategi menuju transparansi","Bustanul Arifin","","","","Forum Indonesia Untuk Transparansi Anggaran","Cet. 1",2017,NA,"9799591171",9789799591173,"","B2","Unknown",NA,"Book","Economic analysis on appropriation and expenditures, internal revenue, and budget policies of Indonesia. - from Amzon","",""
"131","Bahan Tayangan Materi Sosialisasi. Undang-undang Republik Indonesia Nomor 26 Tahun 2007 Tentang Penataan Ruang","","","","","Direktorat Jenderal Penataan Ruang Departemen Pekerjaan Umum","",2007,NA,"",NA,"","B2","Law",NA,"Publication","","",""
"164","Berinvestasi untuk Indonesia yang Lebih Berkelanjutan. Laporan Analisa Lingkungan Indonesia 2009","","","","","The World Bank Group","",2009,NA,"",NA,"","B2","",NA,"Publication","","",""
"194","Broadening Horizons","","","","","Netherlands Architecture Fund","",NA,NA,"",NA,"","B2","",NA,"Publication","","",""
"197","Buah-buahan Khas dan Unik van Borneo","Pahmi Rohliansyah, M.Pd","","","","Pustaka Banua","1",2017,NA,"",9786029864779,"","B2","Ecology",NA,"Book","","",""
"208","Buku Pedoman. Pemerintah Daerah dalam Perlindungan Hak Beragama atau Berkeyakinan","","","","","Kementerian Hukum dan HAM Republik Indonesia","",2015,NA,"",NA,"","B2","",NA,"Book","","",""
"258","Click!. Strategi taktis berkomunikasi dengan berbagai kepribadian","Erwin Parengkuan","","","","MRA Media Publishing House","",2010,NA,"",9786029780406,"","B2","",NA,"Book","","",""
"284","Creative Economy Report 2013 Special Edition","","","","","UNDP-TUGI","",2013,NA,"",NA,"","B2","economy",NA,"Publication","","",""
"291","d'idabu(isasi) banua. Kumpulan Esai Sosial-Politik-Kebijakan","Taufik Arbain","","","","Pustaka Banua","1",2014,NA,"",9786029864137,"","B2","Banjarmasin",NA,"Book","","",""
"303","Democratization in Indonesia: An Assessment (Capacity-Building Series, 9)","International Institute for Democracy and Electoral Assistance","","","","International IDEA","",2000,NA,"9189098420",9789189098428,"","B2","Unknown",NA,"Book","","History & Theory, Political History",""
"322","Diskusibulanpurnama. [Dpb.]. Kumpulan Hasil Diskusi Tahun 2000","","","","","Jaringan Kerja Budaya","",2002,NA,"",NA,"","B2","",NA,"Book","","",""
"325","Dreamseekers: Indonesian Women as Domestic Workers in Asia","Dewi Anggraeni","","","","Equinox Publishing","1st",2006,NA,"9793780282",9789793780283,"","B2","Unknown",NA,"Book","When the women come to recruitment agencies to work as domestic helpers overseas, they begin building the foundation of their dreams of a better future. During their training following the recruitment, their dreams assume colours and shapes. They leave their homeland with high hopes and aspirations.  Arriving at their destinations, the workers quickly realize that no amount of training can prepare them for the shock of the cold, foreign world which confronts them. Those who are placed with considerate employers have generally happy working lives. Those who are placed with employers who expect ready-to-use service from their domestic helpers have a long and rocky road to navigate. With very little bargaining power and negotiating skills, as well as social prejudice from many parts of the community, these women's dreams can easily turn into nightmares.   In Dreamseekers: Indonesian Women as Domestic Workers in Asia, veteran journalist Dewi Anggraeni uncovers the hidden world of domestic helpers from all points of view: the employers, the agents, the governments, the NGOs, and most importantly the workers themselves. This first-hand account of the struggles and successes of these women is described in vivid detail, and Dreamseekers is a must-read by anyone interested in the plight of these remarkable women.  About the Author Dewi Anggraeni, a native of Jakarta, is a journalist and novelist now residing in Melbourne. She is the Australia correspondent for Tempo and regular contributor to the Jakarta Post. Her works have been published in Australia, Indonesia, Hong Kong, the USA, the UK, and Malaysia. Dewi has also published seven books, the latest being Who Did This to our Bali and a novel, Snake, (2003, Indra Publishing). She has also contributed to various anthologies and collections of essays including ""Journey to my Cultural Home"", in Weaving a Double Cloth (2002, Pandanus Books). - from Amzon","Human Resources, Women's Studies",""
"326","Drilling Down. The Civil Society to Extractive Industry Revenues and the EITI","David L. Goldwyn","","","","Revenue Watch Institute","",2008,NA,"",9780981766508,"","B2","",NA,"Book","","",""
"352","Entering the 21st Century","","","","","Oxford University Press","",2000,NA,"0195211251",NA,"01635085","B2","economy",NA,"Book","","","1999/2000"
"360","Environmental Science -international Edition","J.R. Miller","","","","Brooks Cole","10th Edition",2003,NA,"0534424074",9780534424077,"","B2","Unknown",NA,"Book","","",""
"467","Hikayat Tanjung Puri dan Tangisan Putri Galuh Sewangi","","Abdul Hanafi; Gusti Indra Setyawan; Lilies MS; Loki Santoso; Mahfuzh Amin; Muhammad Fitriadi; H. Akhmad T. Bacco","","","Tahura Media","1",2012,NA,"",9786028414142,"","B2","Literature",NA,"Book","","",""
"490","Hukum untuk Manusia atau Manusia untuk Hukum?. Catatan Akhir Tahun Refleksi Hukum dan HAM Indonesia 2015","Tim Penelitian dan Dokumentasi LBH Jakarta","","","","Lembaga Bantuan Hukum (LBH) Jakarta","",2015,NA,"",NA,"","B2","",NA,"Book","","",""
"493","Human Rights Cities. Dokumen Referensi","","","","","International NGO Forum on Indonesian Development","",2014,NA,"",NA,"","B2","",NA,"Reference","","",""
"527","Indonesia dalam Kajian Sarjana Jepang. Perubahan Sosial-ekonomi Abad XIX & XX dan Berbagai Aspek Nasionalisme Indonesia","","","Akira Nagazumi","","Yayasan Obor Indonesia","",1986,NA,"",NA,"","B2","",NA,"Book","","",""
"556","Introducing Democracy: 80 Questions and Answers","David Beetham; Kevin Boyle","","","","Polity","1",1995,NA,"0745615201",9780745615202,"","B2","Unknown",NA,"Book","What is democracy? Why should we value it? What is the relation between democracy and individual rights? Is majority rule always democratic? Why do we have political parties? Are some electoral systems more democratic than others? What is the relation between nationalism and democracy, or democracy and a market economy? How can democracy be maintained and improved? What difference does it make to ordinary people? What is its future? - from Amzon","Democracy, Political Science, Political Ideologies",""
"590","Jalan Panjang Menuju Kesetaraan. Kumpulan Catatan dari Program STOP AIDS NOW! di Indonesia","Eko Bambang Subiantoro","","","","STOP AIDS NOW!","",2011,NA,"",9786029853308,"","B2","",NA,"Book","","",""
"592","Jeda Kebuau. Kumpulan Esai","Hajriansyah","","","","Tahura Media","1",2013,NA,"",9786028414197,"","B2","Journalism",NA,"Book","","",""
"595","Jentera. NGO & Lembaga Donor","","","","","Pusat Studi Hukum dan Kebijakan Indonesia (PSHK)","Edisi 13 Tahun III",2006,NA,"",NA,"14126842","B2","",NA,"Journal","","",""
"596","Jentera. Ruang dan Hukum","","","","","Pusat Studi Hukum dan Kebijakan Indonesia (PSHK)","Edisi 21 Tahun VI",2011,NA,"",NA,"14126842","B2","",NA,"Journal","","",""
"598","JK Ensiklopedia","Husain Abdullah; Neneng Herbawati; Andi Suruji","","","","Idea Group Indonesia","",2012,NA,"",9786021824702,"","B2","",NA,"Book","","",""
"612","Jurnal Hukum Lingkungan Indonesia","","","","","Indonesian Center for Environmental Law","Vol. 02 Issue 02",2015,NA,"",NA,"23551305","B2","",NA,"Journal","","",""
"613","Jurnal Hukum Lingkungan Indonesia","","","","","Indonesian Center for Environmental Law","Vol. 01 Issue 1",2014,NA,"",NA,"","B2","",NA,"Journal","","",""
"615","Jurnal Karat. Karinding Attacks Ujungberung Rebels","Kimung","","Jon Pasisian","","Minor Books","",2011,NA,"",9786028810174,"","B2","",NA,"Book","","",""
