"","Title","Authors","Co.authors","Editors","Illustrators","Publisher","Edition","Year","Volume","ISBN","ISBN13","ISSN","Call.No","Category","Subject","Type","Description","Tags","Series"
"25","A Boal Companion: Dialogues on Theatre and Cultural Politics","","","","","Routledge","1",2006,NA,"0415322944",9780415322942,"","C2","Unknown",NA,"Book","<P>This carefully constructed and thorough collection of theoretical engagements with Augusto Boal’s work is the first to look ’beyond Boal’ and critically assesses the Theatre of the Opressed (TO) movement in context.</P> <P></P> <P><EM>A Boal Companion</EM> looks at the cultural practices which inform TO and explore them within a larger frame of cultural politics and performance theory. The contributors put TO into dialogue with complexity theory – Merleau-Ponty, Emmanuel Levinas, race theory, feminist performance art, Deleuze and Guattari, and liberation psychology – to name just a few, and in doing so, the kinship between Boal’s project and multiple fields of social psychology, ethics, biology, comedy, trauma studies and political science is made visible.</P> <P></P> <P>The ideas generated throughout <EM>A Boal Companion</EM> will:</P> <UL> <LI>expand readers' understanding of TO as a complex, interdisciplinary, multivocal body of philosophical discourses</LI> <LI>provide a variety of lenses through which to practice and critique TO</LI> <LI>make explicit the relationship between TO and other bodies of work.</LI></UL> <P></P> <P>This collection is ideal for TO practitioners and scholars who want to expand their knowledge, but it also provides unfamiliar readers and new students to the discipline with an excellent study resource.</P> - from Amzon","History & Criticism, Reference, Humor & Entertainment, Dramas & Plays, Literature, Theater",""
"58","African Theatre for Development","","","","","Intellect Ltd","",1998,NA,"1871516773",9781871516777,"","C2","Unknown",NA,"Book","<div><I>African Theatre for Development</I> acts as a forum for investigating how African Theatre works and what its place is in this postmodern society. It provides the subject with a degree of detail unmatched in previous books, reflecting a new approach to the study of the performing arts in this region. The collection:<BR><BR>• reveals the dynamic position of the arts and culture in post-independent countries as well as changes in influences and audiences,<BR>• shows African theatre to be about aesthetics and rituals, the sociological and the political, the anthropological and the historical,<BR>• examines theatre's role as a performing art throughout the continent, representing ethnic identities and defining intercultural relationships,<BR>• investigates African theatre's capacity to combine contemporary cultural issues into the whole artistic fabric of performing arts, and<BR>• considers the variety of voices, forms and practices through which contemporary African intellectual circles are negotiating the forces of tradition and modernity.<BR><BR>The book provides an opportunity to discover contemporary material from experts, critics and artists from across the world. The contributions are in a language and style that allow them to be read either as aids to formal study or as elements of discussion to interest the general reader.</div> - from Amzon","History & Criticism, African, Sociology, African & Middle Eastern, Theater, Sociology",""
"60","Against the Current: A Biography of Soedarpo Sastrosatomo","Rosihan Anwar","","","","Pustaka Sinar Harapan","",2003,NA,"9794167665",NA,"","C2","",NA,"Book","","",""
"90","Archinesia: Architecture Network in Southeast Asia","","","","","Imaji Media Pustaka","",NA,NA,"",NA,"","C2","Design",NA,"Book","","",""
"119","Asal Usul Masyarakat Nias. Suatu Interpretasi","P. Johannes Maria Hämmerle, OFMCap","","","","Yayasan Pusaka Nias","",1999,NA,"9799574900",NA,"","C2","",NA,"Book","","",""
"126","Assikalaibineng. Kitab Persetubuhan Bugis","Muhlis Hadrawi","","","","Penerbit Ininnawa","",2008,NA,"",9789799849960,"","C2","",NA,"Book","","",""
"137","Bandjarmasin Tempo Doeloe","Mansyur","","","","Rujak Center for Urban Studies","",2018,NA,"",9786029989885,"","C2","Banjarmasin",NA,"Book","","",""
"170","BERLIN: A City Divide","","","","","Avant-Verlag","",2013,NA,"",NA,"","C2","Banjarmasin",NA,"Book","","",""
"180","Bidadari Sigar Rasa","A. Mustofa Bisri; Eko Tunas; Herlino Soleman; Ratih Kumalasari; SN Ratmana; S Prasetyo Utomo; Triyanto Triwikromo","","","","Dewan Kesenian Jakarta","",2005,NA,"9799585945",NA,"","C2","",NA,"Book","","",""
"186","Bok Cinta Project. Tengok Bustaman II. Proyek seni visual di kampung kota, menafsir ulang ruang publik warga","Ahmad Khairudin","","","","","",2015,NA,"",NA,"","C2","",NA,"Book","","",""
"227","Catatan Pinggir 5","Goenawan Mohamad","","","","Pusat Data dan Analisa Tempo","",2012,NA,"",9789799065476,"","C2","",NA,"Book","","",""
"288","Cultural Industries, Cultural Diversity and Cultural Policy in the Time of Globalization: Proceedings of the Consultation","Center for the Study of Culture and Society Alternative Law Forum","","","","Center for Study of Culture and Society","",2008,NA,"",NA,"","C2","",NA,"Publication","","",""
"314","Devenir de l'Homme","E. Boné, S.J.","","","","La Pensée Catholique","",1962,NA,"",NA,"","C2","",NA,"Book","","",""
"323","Dispatches D5: Endgame","Philip Blenkinsop; Balazs Gardi; Tim Hirsch; Nancy Harmon Jenkins; Jane Kay; David Liittschwager; Andrew Marshall; Alan Weisman; Jeff Danziger","","","","Dispatches Corporation","",2009,NA,"0984115943",9780984115945,"","C2","Unknown",NA,"Book","Ahead of the Copenhagen conference on climate change <i>dispatches</i>_endgame is devoted to the environment: the follies that brought us to this brink, the small steps we can take in the attempt to mitigate disaster and the adaptions that we need to make in order to continue as a global society dependent on our natural resources.   <BR>Climate change will find us whether we are in first world Arizona or third world Bangladesh. Alan Weisman pens the title piece after leaving his native, parched home state for the damper and more secure tracts of New England. In our First World comfort zone the battle for water, geography and topography is winning over technology. Seven thousand miles away in Bangladesh the battle is already lost and the nation must adapt to its new environment; it is too late for mitigation.   <BR>Small inroads of change are being made with mixed success through regulation and legislation. California state s groundbreaking law, AB32, targeting lower carbon emissions is heralded but the regulating of the fishing industry has been largely unsuccessful at a time when rampant over fishing is leading to the disappearance of many species. - from Amzon","",""
"345","Empire of Capital","Ellen Meiksins Wood","","","","Verso","",2003,NA,"1859845029",9781859845028,"","C2","Unknown",NA,"Book","In this era of globalization, we hear a great deal about a new imperialism and its chief enforcer, the United States. Today, with the US promising an endless war against terrorism and promoting a policy of preemptive defense, this notion seems more plausible than ever. <br><br>But what does imperialism mean in the absence of colonial conquest and direct imperial rule? In this lucid and lively book Ellen Meiksins Wood explores the new imperialism against the contrasting background of older forms, from ancient Rome, through medieval Europe, the Arab Muslim world, the Spanish conquests, and the Dutch commercial empire. Tracing the birth of a capitalist imperialism back to the English domination of Ireland, Wood follows its development through the British Empire in America and India. <br><br>The book brings into sharp relief the nature of today’s new capitalist empire, in which the political reach of imperial power cannot match its economic hegemony, and the global economy is administered not by a global state but by a system of multiple local states, policed by the most disproportionately powerful military force the world has ever known and enforced according to a new military doctrine of war without end, in purpose or time. - from Amzon","Free Enterprise, Economics, World, History & Theory, Globalization",""
"382","Folklor Nusantara: Ungkapan Tradisional Masyarakat Melayu Natuna Provinsi Kepulauan Riau","Sindu Galba; Drs. Sudiono, M. Hum","","","","Departemen Kebudayaan dan Pariwisata","",2007,NA,"",9786028099004,"","C2","",NA,"Book","","",""
"384","Force Majeure","","","Eko Endarmoko; Ian Campbell; Wikan Satriati","","Yayasan Kalam","",2007,NA,"",9789791666305,"","C2","",NA,"Book","","",""
"393","From Socrates to Sartre: The Philosophic Quest","T Z Lavine","","","","Bantam Doubleday Dell","Mass Paperback Edition",1984,NA,"0553239538",9780553239539,"","C2","Unknown",NA,"Book","As is. - from Amzon","",""
"417","Gerimis Sepanjang Tahun","Manshur Zikri; Otty Widasari; Bunga Siagian; Iim Rohiman; Imas Masitoh; Maman Sudirman","","","","Forum Lenteng","",2015,NA,"",9786027130913,"","C2","",NA,"Book","","",""
"424","Glorious Metals","","","","","The National Museum of Indonesia","",2013,NA,"",9789798353055,"","C2","",NA,"Book","","","The Collections of the National Museum of Indonesia"
"454","Hanuman, Tarzan, Homo Erectus","Sardono W. Kusumo","","","","Penerbit ku/bu/ku","",2004,NA,"9799668719",NA,"","C2","",NA,"Book","","",""
"503","Identitas dan Aktualisasi Budaya Dayak Kanayatn di Kabupaten Landak Kalimantan Barat. Kajian tentang Folklor Sub Suku Dayak Kanayatn","Bambang H. Suta Purwana","","","","Departemen Kebudayaan dan Pariwisata","",2007,NA,"",9786028099011,"","C2","",NA,"Book","","",""
"504","Identitas Urban, Migrasi, dan Perjuangan Ekonomi-Politik di Makassar","M. Nurkhoiron","","Ruth Indiah Rahayu","","Yayasan Desantara","Revisi",2012,NA,"",9789791964654,"","C2","",NA,"Book","","",""
"514","Ilmu pengetahuan, teknologi & pembangunan bangsa: Menuju dimensi baru pembangunan Indonesia","B. J Habibie","","","","Center for Information and Development Studies","Cet. 1",1995,NA,"9796380110",9789796380114,"","C2","Unknown",NA,"Book","Application of science and technology on national development, and impact on socio-economic conditions in Indonesia; collected articles. - from Amzon","",""
"540","Indonesian Women`s Movements: Making Democracy Gender Responsive","","","","","Women Reasearch Institute","",2013,NA,"",NA,"","C2","Social Activism",NA,"Book","","",""
"597","Jewelry","","","","","The National Museum of Indonesia","",2013,NA,"",9789798353079,"","C2","",NA,"Book","","","The Collections of the National Museum of Indonesia"
"624","Jurnalisme Sastrawi. Antologi Liputan Mendalam dan Memikat","Andreas Harsono; Budi Setiyono","","","","Yayasan Pantau","",2005,NA,"979979451X",NA,"","C2","",NA,"Book","","",""
"659","Keajaiban di Pasar Senen","Misbach Yusa Biran","","","","Kepustakaan Populer Gramedia","",2008,NA,"",9789799101297,"","C2","",NA,"Book","","",""
"680","Knowledge Management for Culture and Development","","","","","Culture Sector of the United Nations Educational, Scientific and Cultural Organization (UNESCO)","",2012,NA,"",NA,"","C2","",NA,"Publication","","","Knowledge Management for Culture and Development"
"681","Knowledge Management for Culture and Development. MDG-F Joint Programmes in Albania, Bosnia and Herzegovina, and Turkey","","","","","Culture Sector of the United Nations Educational, Scientific and Cultural Organization (UNESCO)","",2012,NA,"",NA,"","C2","",NA,"Publication","","","Knowledge Management for Culture and Development"
"682","Knowledge Management for Culture and Development. MDG-F Joint Programmes in Cambodia and China","","","","","Culture Sector of the United Nations Educational, Scientific and Cultural Organization (UNESCO)","",2012,NA,"",NA,"","C2","",NA,"Publication","","","Knowledge Management for Culture and Development"
"683","Knowledge Management for Culture and Development. MDG-F Joint Programmes in Costa Rica, Ecuador, Honduras, Nicaragua, and Uruguay","","","","","Culture Sector of the United Nations Educational, Scientific and Cultural Organization (UNESCO)","",2012,NA,"",NA,"","C2","",NA,"Publication","","","Knowledge Management for Culture and Development"
"684","Knowledge Management for Culture and Development. MDG-F Joint Programmes in Egypt, Mauritania, Morocco, and the Occupied Palestinian Territory","","","","","Culture Sector of the United Nations Educational, Scientific and Cultural Organization (UNESCO)","",2012,NA,"",NA,"","C2","",NA,"Publication","","","Knowledge Management for Culture and Development"
"685","Knowledge Management for Culture and Development. MDG-F Joint Programmes in Ethiopia, Mozambique, Namibia, and Senegal","","","","","Culture Sector of the United Nations Educational, Scientific and Cultural Organization (UNESCO)","",2012,NA,"",NA,"","C2","",NA,"Publication","","","Knowledge Management for Culture and Development"
"686","Knowledge Management for Culture and Development. MDG-F Joint Programmes in Ethiopia, Mozambique, Namibia, and Senegal","","","","","Culture Sector of the United Nations Educational, Scientific and Cultural Organization (UNESCO)","",2012,NA,"",NA,"","C2","",NA,"Publication","","","Knowledge Management for Culture and Development"
"725","Larung","Ayu Utami","","","","KPG (Kepustakaan Populer Gramedia) bekerjasama dengan Jurnal Kebudayaan Kalam","Cet. 1",2017,NA,"9799023637",9789799023636,"","C2","Unknown",NA,"Book","Book by Utami, Ayu - from Amzon","",""
"731","Legenda Jakarta","","","","","Dinas Museum dan Sejarah Pemerintah DKI Jakarta","",NA,NA,"",NA,"","C2","Publication",NA,"Publication","","",""
"767","Manusia dan Kebudayaan di Indonesia","Prof. Dr. Koentjaraningrat","","","","Penerbit Djambatan","",1982,NA,"",NA,"","C2","",NA,"Book","","",""
"770","Mapping Invisible Cities","","","","","Goethe-Institut","",2008,NA,"",NA,"","C2","",NA,"Book","","",""
"780","Masks & Wayang","","","","","The National Museum of Indonesia","",2013,NA,"",9789798353062,"","C2","",NA,"Book","","","The Collections of the National Museum of Indonesia"
"802","Menelusuri Jejak Melayu-Minangkabau","","","Sastri Yunizarti Bakry; Media Sandra Kasih","","Yayasan Citra Budaya Indonesia","",2002,NA,"979958308X",NA,"","C2","",NA,"Book","","",""
"837","Modern and modernism: The sovereignty of the artist, 1885-1925","Frederick Robert Karl","","","","Atheneum","1st",1985,NA,"0689115644",9780689115646,"","C2","Unknown",NA,"Book","Looks at modernism in art, literature, and music, examines the opposition it attracted, and discusses the intellectual movements associated with the avant-garde - from Amzon","",""
"861","Museum Taman Prasasti. Metamorfosis Makam Menjadi Museum","Nirwono Joga; Evan Sandjaja; Rosa Yulita Sita Wardhani","","","","Universitas Trisakti","",2005,NA,"",NA,"","C2","",NA,"Book","","",""
"909","Pameran Lukisan Koleksi PKJ-TIM & DKJ: 40 Tahun Desember Hitam. Lukisan yang Baik","","","","","","",NA,NA,"",NA,"","C2","",NA,"Book","","",""
"960","Penguin Book of Hindu Names","Maneka Gandhi","","","","Penguin Books","1st",2004,NA,"0140128417",9780140128413,"","C2","Unknown",NA,"Book","The prodcut of several years of research, this is a comprehensive compilation of Hindu names in current use. The meaning of each of the 20,000 names in the volume is extensively discussed and information on sources and usage is also provided. The book is cross-referenced to make it easier to use. - from Amzon","Reference, Reference, History, Reference",""
"985","Perkawinan Batu","Amien Wangsitalaja; Ariffin Noor Hasby; Burhanuddin Soebely; Eza Thabry Husano; Jamal T. Suryanata; Karno Wahid; Maman S. Tawie; Micky Hidayat; Odhy's; Shanti Ned; Tarman Effendi Tarsyad; Zulfaisal Putra","","","","Dewan Kesenian Jakarta","",2005,NA,"9799585953",NA,"","C2","",NA,"Book","","",""
"996","Pesta Sastra Utan Kayu 2003. Iman!","","","Eko Endarmoko; Hasif Amini; Sitok Srengenge","","","",2003,NA,"",NA,"","C2","",NA,"Book","","",""
"1100","Rome, Inc.: The Rise and Fall of the First Multinational Corporation (Enterprise) (Enterprise (W.W. Norton Hardcover))","Stanley Bing","","","","W. W. Norton","1",2006,NA,"0393060268",9780393060263,"","C2","Unknown",NA,"Book","<B>The world's first corporate case study, as only the best-selling Stanley Bing could tell it.</B><BR><BR>A family business prospers through a productive series of brutal consolidations and rational growth. Then the rise of an executive class that pits one egotistical senior manager against another in senseless internal conflicts eventually leads to a long line of demented CEOs, excessive expansion, and foolish diversification—and a high cost in shattered lives. In the end, a series of reverse takeovers leave the once-proud but now overextended and corrupt parent company at the mercy of the mom-and-pop operations that previously cringed at the grandeur of the corporate brand.<BR><BR>Enron? WorldCom? Try Rome, whose rise and fall carry a moral that lingers to this day for the managers, employees, and students of any global enterprise. Stanley Bing—whose satirical business books are as savagely funny as they are insightful—mingles business parable and cautionary tale into an ingenious, often hilarious new telling of the story of the Roman Empire. - from Amzon","Economic History, Rome, Italy, Reference",""
"1110","Runtuhnya Kerajaan Hindu-Jawa dan Timbulnya Negara-negara Islam di Nusantara","Prof. Dr. Slamet Muljana","","","","LKiS Yogyakarta","",2005,NA,"",9799798451163,"","C2","",NA,"Book","","",""
"1128","Sastra Pranikah","Nyi Vinon","","","","Daun Buku","",2009,NA,"",9786029500103,"","C2","",NA,"Book","","",""
"1134","Sebuah Dunia Tanpa Suami","","","Nani Zulminarni","","Pusat Pengembangan Sumberdaya Wanita (PPSW)","",2004,NA,"9799695813",NA,"","C2","",NA,"Book","","",""
"1139","Sejarah Dunia dalam 10½ Bab","Julian Barnes","","","","Kepustakaan Populer Gramedia","",2009,NA,"",9789799101594,"","C2","",NA,"Book","","",""
"1182","Soe Hok Gie: catatan seorang demonstran","","","","","LP3ES","",2011,NA,"",9789793330333,"","C2","",NA,"Book","","",""
"1206","Studi Hukum Kritis: dari Modern, Posmodern Hingga Posmarxis","","","","","Thafa Media","",2012,NA,"",NA,"","C2","Law",NA,"Book","","",""
"1212","Suka-Duka Ibu Fatmawati Sukarno: seperti diceritakan kepada Kadjat Adra'i","Kadjat Adra'i","","","","Yayasan Bung Karno","",2008,NA,"",9789799657343,"","C2","",NA,"Book","","",""
"1242","Tamsil Zaman Citra: Bunga Rampai Pemenang Sayembara Kritik Sastra Dewan Kesenian Jakarta 2007","Arif Bagus Prasetyo; Manneke Budiman; Bandung Mawardi; Bramantio; Katrin Bandel; Tia Setiadi; Tirto Suwondo; Irsyad Ridho","","","","Dewan Kesenian Jakarta","",2007,NA,"",9789791601528,"","C2","",NA,"Book","","",""
