"","Title","Authors","Co.authors","Editors","Illustrators","Publisher","Edition","Year","Volume","ISBN","ISBN13","ISSN","Call.No","Category","Subject","Type","Description","Tags","Series"
"158","Bentala: Mari Lindungi Air","","","","","","",2014,NA,"",NA,"","C3","Ecology",NA,"Other","","Ecology, Environment, Water",""
"159","Bentala: Yuk, Bermain di Taman","","","","","","",2015,NA,"",NA,"","C3","Ecology",NA,"Publication","","Ecology, Environment",""
"212","Bung! Hidup Pria Indonesia (Edisi 1: Okt-Nov 2011)","","","","","Forum Lenteng","",2011,NA,"",NA,"20889836","C3","Entertainment",NA,"Book","","majalah, magazine, majalah dewasa","Edisi 1"
"213","Bung! Hidup Pria Indonesia (Edisi 2: Des 2011-Jan 2012)","","","","","Forum Lenteng","Edisi 2",2011,NA,"",NA,"20889836","C3","Entertainment",NA,"Book","","Majalah, Magazine, Majalah Dewasa",""
"214","Bung! Hidup Pria Indonesia (Edisi 3: Apr-Mei 2012)","","","","","Forum Lenteng","Edisi 3 ",2012,NA,"",NA,"20889836","C3","Entertainment",NA,"Book","","Majalah, Magazine , Majalah Dewasa",""
"215","Bung! Hidup Pria Indonesia (Edisi 4: Des 2012-Jan 2013)","","","","","Forum Lenteng","Edisi 4",2012,NA,"",NA,"20889836","C3","Entertainment",NA,"Book","","Majalah, Magazine, Majalah Dewasa",""
"256","Clayarch Gimhae Museum","","","","","Clayarch Gimhae Museum","",NA,NA,"",NA,"","C3","Education",NA,"Book","","",""
"455","Happening Jakarta","","","","","Departemen Kebudayaan dan Pariwisata","",2014,NA,"",NA,"","C3","Unknown",NA,"Publication","","Tourism, Jakarta",""
"742","Lokakarya Nasional Publish What You Pay (PWYP","","","","","","",2007,NA,"",NA,"","C3","economy",NA,"Publication","","Economy",""
"850","Mozaik Kebudayaan Indonesia","Tim Penulis Bidang Kebudayaan Kemendikbud","","","","Direktorat Jenderal Kebudayaan Kementerian Pendidikan dan Kebudayaan","",2015,NA,"",9786027397507,"","C3","Culture",NA,"Book","","kebudayaan Indonesia, Indonesian culture",""
"925","Path Awakening","","","","","","",2013,NA,"",NA,"","C3","Unknown",NA,"Publication","","Religion, Event",""
"946","Penang Houses: A Handbook of Features and Materials","Tan Yeow Wooi","","","","Tan Yeow Wooi Culture and Heritage Research Studio","",2015,NA,"",9789671334010,"","C3","Architecture",NA,"Book","","",""
"948","Penang's Living Legacy","","","","","George Town World Heritage Incorporated","",NA,NA,"",9789761228104,"","C3","Culture",NA,"Book","","",""
"1074","Rekor-Rekor Muri Volume IV","","","","","PT Elex Media Komputindo","",2016,NA,"",NA,"","C3","Indonesian Studies",NA,"Book","","",""
"1419","To enchance and sustain the world's buils, natural and social environments","","","","","","",NA,NA,"",NA,"","C3","Ecological Design",NA,"Publication","","Environment, Ecology, Ecological Design",""
"1506","World Culture Forum","Tim Penulis Bidang Kebudayaan Kemendikbud","","","","Direktorat Jenderal Kebudayaan Kementerian Pendidikan dan Kebudayaan","",2016,NA,"",9786027397521,"","C3","Culture",NA,"Book","","",""
"1515","Zerorisk Indonesia","","","","","","",2013,NA,"",NA,"","C3","humanity",NA,"Publication","","Humanity, Environment",""
