"","Title","Authors","Co.authors","Editors","Illustrators","Publisher","Edition","Year","Volume","ISBN","ISBN13","ISSN","Call.No","Category","Subject","Type","Description","Tags","Series"
"76","Always Prepare: Living with Changes","","","","","Thailand Creative & Design Center","",2012,NA,"",9786162351433,"","D2","",NA,"Book","","",""
"122","Asia Tenggara dalam Kurun Niaga 1450-1680: Jaringan Perdagangan Global","Anthony Reid","","","","Yayasan Pustaka Obor Indonesia","",2011,NA,"",NA,"","D2","Southeast Asia",NA,"Book","","",""
"123","Asia Tenggara dalam Kurun Niaga 1450-1680: Tanah di bawah Angin","Anthony Reid","","","","Yayasan Pustaka Obor Indonesia","",2011,NA,"",9789794611081,"","D2","",NA,"Book","","",""
"187","Borderlands for the Peaceful Co-existence in Korea and Beyond","","","","","Art Sonje Center","",2016,NA,"",NA,"","D2","",NA,"Publication","","Sunjung Kim",""
"316","Die Mauerreise","","","","","Steidl Gerhard Verlag","",NA,NA,"3869300841",9783869300849,"","D2","Unknown",NA,"Book","","",""
"330","Dua Abad Penguasaan Tanah: Pola Penguasaan Tanah Pertanian di Jawa dari Masa ke Masa","","","S.M.P. Tjondronegoro; Gunawan Wiradi","","Yayasan Obor Indonesia","Revisi",2008,NA,"",9789794616857,"","D2","",NA,"Book","","",""
"407","Gejolak Revolusi di Jakarta 1945-1949","Robert Bridson Cribb","","","","PT Pustaka Grafitipers","",1990,NA,"9794440884",NA,"","D2","politic and Economic",NA,"Book","","","Revolusi Di Jakarta"
"447","HADI SOESASTRO: Sebuah Antologi Pemikiran","","","mochamad Pasha","","Center for Strategic and International Studies","",2011,NA,"",9789791295161,"","D2","politic and Economic",NA,"Book","","","kajian ekonomi politik Indonesia"
"516","Imagined Communities: Reflections on the Origin and Spread of Nationalism","Benedict Anderson","","","","Verso","Revised",1998,NA,"0860915468",9780860915461,"","D2","Unknown",NA,"Book","What makes people love and die for nations, as well as hate and kill in their name? While many studies have been written on nationalist political movements, the sense of nationality—the personal and cultural feeling of belonging to the nation—has not received proportionate attention. In this widely acclaimed work, Benedict Anderson examines the creation and global spread of the ‘imagined communities’ of nationality.<br><br>Anderson explores the processes that created these communities: the territorialisation of religious faiths, the decline of antique kingship, the interaction between capitalism and print, the development of vernacular languages-of-state, and changing conceptions of time. He shows how an originary nationalism born in the Americas was modularly adopted by popular movements in Europe, by the imperialist powers, and by the anti-imperialist resistances in Asia and Africa.<br><br>This revised edition includes two new chapters, one of which discusses the complex role of the colonialist state’s mindset in the development of Third World nationalism, while the other analyses the processes by which all over the world, nations came to imagine themselves as old. - from Amzon","Nationalism, History & Theory",""
"607","Jurnal Hukum Humaniter","","","","","Pusat Studi Hukum Humaniter dan Hak Asasi Manusia Fakultas Hukum Universitas Trisakti","Vol. 1 No. 1",2005,NA,"",NA,"18582338","D2","",NA,"Journal","","",""
"657","Katalog. Jakarta Biennale 2013","","","","","Jakarta Biennale: SIASAT","",2013,NA,"",NA,"","D2","",NA,"Book","","",""
"667","Kemiskinan di Perkotaan. Bacaan untuk Antropologi Perkotaan","","","Parsudi Suparlan","","Yayasan Obor Indonesia","",1993,NA,"979461128X",NA,"","D2","",NA,"Book","","",""
"705","Kota-kota di Sumatra. Enam Kisah Kewarganegaraan dan Demokrasi","","","Hikmat Budiman","","The Interseksi Foundation","",2012,NA,"",9789799999238,"","D2","",NA,"Book","","",""
"756","Malacca Style","","","","","The Lemongrass","",2014,NA,"",9789671159316,"","D2","",NA,"Book","","",""
"829","Mewariskan Kota Layak Huni","Nirwono Joga","","","","PT Gramedia Pustaka Utama","",2017,NA,"",9786020339177,"","D2","",NA,"Book","","",""
"830","Mewujudkan Partisipasi: 21 Teknik Partisipasi Masyarakat untuk Abad 21: Participation Works!","John Gaventa; Camilo Valderrama","","","","The British Council","",2017,NA,"9799637554",9789799637550,"","D2","Unknown",NA,"Book","","",""
"834","Mimpi Rumah Murah","Yu Sing","","","","TransMedia Pustaka","",2009,NA,"9797990796",9789797990794,"","D2","",NA,"Book","","",""
"891","Non-Government Organizations and Democratic Participation in Indonesia (South-East Asian Social Science Monographs)","Philip J. Eldridge","","","","Oxford University Press","",1996,NA,"9676530913",9789676530912,"","D2","Unknown",NA,"Book","This book explores the complex relations between the Indonesian government and groups working for change in fields as diverse as health, mobilization of women, human rights, and environment. - from Amzon","Processes & Infrastructure, Botany, Asian, Political Science, General, Civil Rights & Liberties",""
"912","Panduan Penyusunan Rencana Aksi Kota Pusaka (RAKP)","","","","","Kementerian Pekerjaan Umum Direktorat Jenderal Penataan Ruang","",NA,NA,"",NA,"","D2","",NA,"Publication","","",""
