"","Title","Authors","Co.authors","Editors","Illustrators","Publisher","Edition","Year","Volume","ISBN","ISBN13","ISSN","Call.No","Category","Subject","Type","Description","Tags","Series"
"34","A History of Housing in New York City (Columbia History of Urban Life)","Richard Plunz","","","","Columbia University Press","revised edition",2016,NA,"0231178352",9780231178358,"","E1","Unknown",NA,"Book","Since its emergence in the mid-nineteenth century as the nation's ""metropolis,"" New York has faced the most challenging housing problems of any American city, but it has also led the nation in innovation and reform. The horrors of the tenement were perfected in New York at the same time that the very rich were building palaces along Fifth Avenue; public housing for the poor originated in New York, as did government subsidies for middle-class housing.<br><br>A standard in the field since its publication in 1992, <i>A History of Housing in New York City</i> traces New York's housing development from 1850 to the present in text and profuse illustrations. Richard Plunz explores the housing of all classes, with comparative discussion of the development of types ranging from the single-family house to the high-rise apartment tower. His analysis is placed within the context of the broader political and cultural development of New York City. This revised edition extends the scope of the book into the city's recent history, adding three decades to the study, covering the recent housing bubble crisis, the rebound and gentrification of the five boroughs, and the ecological issues facing the next generation of New Yorkers. More than 300 illustrations are integrated throughout the text, depicting housing plans, neighborhood changes, and city architecture over the past 130 years. This new edition also features a foreword by the distinguished urban historian Kenneth T. Jackson. - from Amzon","History, Regional, Urban & Land Use Planning, State & Local, Urban Planning & Development, City Planning & Urban Development, United States, Architecture, Public Policy",""
"39","A Jarrold Guide to the University City of Cambridge (Jarrold City Guide Series)","Sally Kent","","","","Jarrold Pub","",2002,NA,"071170581X",9780711705814,"","E1","Unknown",NA,"Book","Contains detailed maps of each city center, with illustrated walking tours. This title also includes alphabetical lists of various attractions with their locations and telephone numbers. - from Amzon","General, General, General",""
"135","Ballungsraum Berlin: Raumstrukturen und Planungsvorstellungen (Beiträge und Materialien zur regionalen Geographie) (German Edition)","Frank Werner","","","","Institut für Geographie der Technischen Universität Berlin","",1991,NA,"3798313857",9783798313859,"","E1","Unknown",NA,"Book","Hard to find book - from Amzon","",""
"211","Bung Karno Sang Arsitek: Kajian Artistik Karya Arsitektur, Tata Ruang Kota, Interior, Kria, Simbol, Mode Busana dan Teks Pidato 1926-1965","","","J.J. Rizal","","Komunitas Bambu","",2005,NA,"9793731028",NA,"","E1","",NA,"Book","","",""
"229","Celebrating Public Spaces of India","Archana Gupta; Anshuman Guptawith","","","","Mapin Publishing Gp Pty Ltd","",2017,NA,"1935677667",9781935677666,"","E1","Unknown",NA,"Book","<ul><li>A vital book that explores the architectural, social, cultural and functional importance of public spaces within the urban fabric of India's vibrant cities. </li><li>Featuring nearly 180 visuals, comprising stunning photographs and detailed plans, this book presents a carefully curated list of vibrant landmarks across India.</li></ul>Celebrating Public Spaces of India is an attempt at understanding architecture as a defining feature in the identity of the public space and its influence on evolving modes of urbanism in India. Through a carefully curated list of more than fifty vibrant landmarks across the length and breadth of India, this volume analyses and highlights the socio-cultural functional strength of public spaces within the urban fabric of cities.<br><br>Featuring evocative photographs and drawings, this volume strives to understand the mechanics of these built and open structures, and their influences on urban cityscapes. With insightful original research, the book is an invaluable resource for anyone wishing to understand the nature of the Indian urban public space. - from Amzon","Buildings, History, Urban & Land Use Planning",""
"239","Cirebon","Jill Gocher","","","","Times Editions","",1990,NA,"9798162013",9789798162015,"","E1","Unknown",NA,"Book","Hardcover culture and travel title about Cirebon, Indonesia - from Amzon","",""
"244","Cities of the World (Harper & Row series in geography)","Brunn/willi","","","","Longman Higher Education","2nd",1982,NA,"0063812258",9780063812253,"","E1","Unknown",NA,"Book","Cities and Towns, Urban Policy, City Planning - from Amzon","Urban Planning & Development, Specific Demographics, Sociology, City Planning & Urban Development, Public Policy",""
"264","Community Design and the Culture of Cities: The Crossroad and the Wall","Eduardo E. Lozano","","","","Cambridge University Press","",1990,NA,"0521380677",9780521380676,"","E1","Unknown",NA,"Book","Having perceived a widespread failure of most community-scale plans, Eduardo Lozano has created a large and humane vision for community design, geared toward urban planners and designers, as well as those concerned with the communities of the future.  Lozano strives to unify theory and practice, seeing that design at community scale is a relatively new responsibility for professionals and seeing the need for an awareness of the systemic nature of urban design.  He also highlights relevant lessons from historical examples in order to rediscover the community design metier forgotten after the industrial revolution.  The author relies on interdisciplinary studies, drawing from biology, ecology, and political science, as well as from history for his fascinating study.  Throughout the book there is an emphasis on the interrelationship of design and culture--society, technology, institutions, and values--and on the need for an agenda for political and cultural change. - from Amzon","Architecture, Architecture, Specific Demographics, Rural, Architecture",""
"273","Connecting Civil Societies III: An Asia-Europe Dialogue on Economy and Society. Conference Proceedings","Sol Iglesias","","Ronan Lenihan","","Asia-Europe Foundation","",2010,NA,"",9789810869724,"","E1","",NA,"Book","","",""
"313","Design with the Other 90%: Cities","Cynthia E. Smith","","","","Cooper Hewitt, Smithsonian Design Museum","",2011,NA,"0910503834",9780910503839,"","E1","Unknown",NA,"Book","Half the world's population now resides in cities, which are expanding at an unprecedented rate. Close to one billion people live in crowded, unhealthy, informal settlements--commonly referred to as slums--many of which lack security of land tenure, adequate housing, sanitation, clean water and electricity. Experts estimate that by 2030, more than two billion people will be living in these slums. In 2007, <I>Design for the Other 90%</I> explored design that helps provide better access to food, water, shelter, health, education and energy to those who most need them. <I>Design with the Other 90%: Cities</I> is the second installment in Cooper-Hewitt's ongoing and acclaimed exhibition and book series. It looks at some of the myriad challenges created by accelerated urban growth and presents design solutions that address the consequences. Exploring the multidisciplinary, overlapping relationships between urban planning and design, education, social entrepreneurship, climate change, sanitation and water, migration, public health and affordable housing in these communities, <I>Design with the Other 90%: Cities</I> looks at the efforts of international and locally based organizations, designers and communities collaborating with settlement residents to give them a chance at a more prosperous life. - from Amzon","Urban & Land Use Planning, Sustainability & Green Design, Industrial & Product Design",""
