"","Title","Authors","Co.authors","Editors","Illustrators","Publisher","Edition","Year","Volume","ISBN","ISBN13","ISSN","Call.No","Category","Subject","Type","Description","Tags","Series"
"27","A Certain Age: Colonial Jakarta through the Memories of Its Intellectuals","Rudolf Mrázek","","","","Duke University Press Books","",2010,NA,"0822346974",9780822346975,"","F1","Unknown",NA,"Book","<div><I>A Certain Age</I> is an unconventional, evocative work of history and a moving reflection on memory, modernity, space, time, and the limitations of traditional historical narratives. Rudolf Mrázek visited Indonesia throughout the 1990s, recording lengthy interviews with elderly intellectuals in and around Jakarta. With few exceptions, they were part of an urban elite born under colonial rule and educated at Dutch schools. From the early twentieth century, through the late colonial era, the national revolution, and well into independence after 1945, these intellectuals injected their ideas of modernity, progress, and freedom into local and national discussion.</p><P>When Mrázek began his interviews, he expected to discuss phenomena such as the transition from colonialism to postcolonialism. His interviewees, however, wanted to share more personal recollections. Mrázek illuminates their stories of the past with evocative depictions of their late-twentieth-century surroundings. He brings to bear insights from thinkers including Walter Benjamin, Bertold Brecht, Le Corbusier, and Marcel Proust, and from his youth in Prague, another metropolis with its own experience of passages and revolution. Architectural and spatial tropes organize the book. Thresholds, windowsills, and sidewalks come to seem more apt as descriptors of historical transitions than colonial and postcolonial, or modern and postmodern. Asphalt roads, homes, classrooms, fences, and windows organize movement, perceptions, and selves in relation to others. <I>A Certain Age</I> is a portal into questions about how the past informs the present and how historical accounts are inevitably partial and incomplete.</div> - from Amzon","Southeast Asia, Cultural, Asia, Anthropology",""
"62","Agenda Baru Perkotaan: Deklarasi Quito Mengenai Perkotaan dan Permukiman Berkelanjutan untuk Semua","","","","","Kementerian PU Republik Indonesia","",2017,NA,"",NA,"","F1","Urbanism",NA,"Publication","","",""
"140","Bangkok Bangkok","","","","","Bangkok Metropolitan Administration","",2001,NA,"",NA,"","F1","",NA,"Book","","",""
"157","Bencana Gempa dan Tsunami. Nanggroe Aceh Darussalam & Sumatera Utara","","","P. Cahanar","","Penerbit Buku Kompas","",2005,NA,"9797091740",NA,"","F1","",NA,"Book","","",""
"168","Berlin im Fluss. Floating Berlin.","Unknown","","","","","",2017,NA,"3935455593",9783935455596,"","F1","Unknown",NA,"Book","Hard to find book - from Amzon","",""
"192","Braga: Revitalisation in an urban development","Hendrik F Wieland","","","","Parahyangan Catholic University, Dept. of Architecture","",1997,NA,"9799530806",9789799530806,"","F1","Unknown",NA,"Book","Revitalization  of Braga street and surroundings, a shopping and business street in Bandung, West Java, Indonesia. - from Amzon","",""
"242","Cities in Civilisation","Peter Hall","","","","Orion Publishing","",2006,NA,"0753808153",9780753808153,"","F1","Urbanism",NA,"Book","Peter Hall explores the history of cities and their role in the development of civilization, from the cultural crucibles of Athens in the sixth century BC and Florence in the fifteenth century through the industrial innovations of Manchester, cotton and steam, and Palo Alto, computing, to the city as freeway, Los Angeles. - from Amzon","World, Social Sciences, History",""
"243","Cities of the Hot Zone: A Southeast Asian Adventure","Greg Sheridan","","","","Allen & Unwin","",2004,NA,"1741142245",9781741142242,"","F1","Unknown",NA,"Book","With great warmth and insight, Greg Sheridan takes us on a very personal journey to six Asian cities that have intrigued, surprised, repelled and charmed him. - from Amzon","China, Hong Kong, Travel, Malaysia & Brunei, Vietnam, Southeast, General, Adventure, Travel Writing, Social Sciences",""
"252","Civic Realism","Peter G. Rowe","","","","The MIT Press","Reprint",1999,NA,"0262681056",9780262681056,"","F1","Unknown",NA,"Book","<p><b>A study of the shape and appearance of civic places and the social, political, and cultural circumstances that bring them into existence.</b></p><p>A civic place belongs to everyone and yet to nobody in particular. In <i> Civic Realism</i>, Peter G. Rowe looks at the shape and appearance of civic places, and at the social, political, and cultural circumstances that bring them into existence. The book is as much about the making and reshaping of civic places as it is about urban architecture per se. According to Rowe, the best civic place-making occurs across the divide between the state and civil society. By contrast, the alternatives are not very attractive. On the one side are state-sponsored edifices and places of authoritarian nature. On the other are the exclusive enclaves of corporate-dominated urban and suburban environments.</p> - from Amzon","Buildings, Urban & Land Use Planning, Architecture, Architecture",""
"260","Collage City (MIT Press)","Colin Rowe; Prof Fred Koetter","","","","The MIT Press","Reprint",1984,NA,"0262680424",9780262680424,"","F1","Unknown",NA,"Book","<p>This book is a critical reappraisal of contemporary theories of urban planning and design and of the role of the architect-planner in an urban context. The authors, rejecting the grand utopian visions of ""total planning"" and ""total design,"" propose instead a ""collage city"" which can accommodate a whole range of utopias in miniature.</p> - from Amzon","Buildings, Urban & Land Use Planning, Architecture, Architecture",""
"270","Confronting [In]formality. Experiences of working with urban informal development around the world","Yos Purwanto","","Daniel Radai; Todor Kesarovski","","Delft University of Technology","",2016,NA,"",9789461866233,"","F1","",NA,"Publication","","",""
"287","Critical Planning. UCLA Journal of Urban Planning. Spatial Justice","","","","","","Vol. 14 Summer 2007",2007,NA,"",NA,"15229807","F1","",NA,"Journal","","",""
"300","Delirious New York (bound corrected page proofs of 1994 reprint)","Rem Koolhaas","","","","010 Publishers","New Ed",1994,NA,"9064502110",9789064502118,"","F1","Unknown",NA,"Book","","",""
"318","Dinamika Sosial Sebuah Kota di Jawa","Clifford Geertz","","","","PT Pustaka Grafitipers","",1986,NA,"",NA,"","F1","",NA,"Book","","",""
"351","Engineers of Happy Land: Technology and Nationalism in a Colony","Rudolf Mrázek","","","","Princeton University Press","",2002,NA,"0691091625",9780691091624,"","F1","Unknown",NA,"Book","<p>Based on close reading of historical documents--poetry as much as statistics--and focused on the conceptualization of technology, this book is an unconventional evocation of late colonial Netherlands East Indies (today Indonesia). In considering technology and the ways that people use and think about <i>things</i>, Rudolf Mrázek invents an original way to talk about freedom, colonialism, nationalism, literature, revolution, and human nature.</p><br> <p>The central chapters comprise vignettes and take up, in turn, transportation (from shoes to road-building to motorcycle clubs), architecture (from prison construction to home air-conditioning), optical technologies (from photography to fingerprinting), clothing and fashion, and the introduction of radio and radio stations. The text clusters around a group of fascinating recurring characters representing colonialism, nationalism, and the awkward, inevitable presence of the European cultural, intellectual, and political avant-garde: Tillema, the pharmacist-author of Kromoblanda; the explorer/engineer IJzerman; the ""Javanese princess"" Kartina; the Indonesia nationalist journalist Mas Marco; the Dutch novelist Couperus; the Indonesian novelist Pramoedya Ananta Toer; and Dutch left-wing liberal Wim Wertheim and his wife.</p><br> <p>In colonial Indies, as elsewhere, people employed what Proust called ""remembering"" and what Heidegger called ""thinging"" to sense and make sense of the world. In using this observation to approach Indonesian society, Mrázek captures that society off balance, allowing us to see it in unfamiliar positions. The result is a singular work with surprises for readers throughout the social sciences, not least those interested in Southeast Asia or colonialism more broadly.</p> - from Amzon","Southeast Asia, Engineering, General, Nationalism",""
"367","Exploring Ho Chi Minh City","Tim Doling","","","","The Gioi Publishers","",2017,NA,"6047707831",9786047707836,"","F1","Unknown",NA,"Book","Most visitors to Viet Nam spend just one or at most two days in Ho Chi Minh City, perhaps simply using it as a base to explore the Cu Chi Tunnels before heading off to see the myriad other attractions this fascinating country has to offer. Invariably depicted as the country's ""dynamic economic powerhouse,"" it is rarely considered as a cultural centre in its own right, a shortcoming no doubt reinforced by the frightening rate at which the city's remaining old buildings continue to be demolished and replaced by gleaming new tower blocks. 
<p> Yet there is another side to the southern capital. If you look hard enough you can still find what's left of the elegant architectural heritage which once won the city the title ""Pearl of the Orient."" This book seeks to identify that heritage and enable visitors to experience it through a series of walking tours. </p> 
<p> Since there is a great del to see and do in Ho Chi Minh City, all of the walking tours in the book are relatively lengthy. Furthermore, many of the tours take you to a selection of museums, temples, pagodas, communal houses and other intriguing destinations which may each demand a visit of 30 minutes or more.Thus, unless you have a half day or even a whole day to devote to each walking tour, you might first wish to use each one as a means of finding your bearings and getting to know the main sights of the city, perhaps just visiting one or two attractions as you walk and saving the remainder for subsequent visits.</p> - from Amzon","",""
"428","Good City Form","Kevin Lynch","","","","The MIT Press","Reprint",1984,NA,"0262620464",9780262620468,"","F1","Unknown",NA,"Book","<p><b>A summation and extension of Lynch's vision for the exploration of city form.</b></p><p>With the publication of <i>The Image of the City</i> in 1959, Kevin Lynch embarked upon the process of exploring city form. <i> Good City Form</i> is both a summation and an extension of his vision, a high point from which he views cities past and possible. First published in hardcover under the title <i>A Theory of Good City Form.</i></p> - from Amzon","Urban & Land Use Planning, Architecture, Specific Demographics, Urban, Architecture, Sociology",""
"430","Graaskamp on Real Estate","","","Stephen P. Jarchow","","Urban Land Institute","",1991,NA,"087420724X",9780874207248,"","F1","Unknown",NA,"Book","Written by one of his students and considered one of the Real Estate Analysis and Development books ever written. Paperback, 554 pages Published by Urban Land Institute James Graaskamp taught real estate at the UW-Madison from 1964 to 1988 and was chairman of the Real Estate Department from 1968 until his untimely death in 1988. Graaskamp built the teaching side of the Real Estate program into national prominence and was noted for his holistic intellectual pragmatic approach, his iconoclasm, and his extraordinary efforts on behalf of his students. During his career Professor Graaskamp was a leader in real estate analysis. Authorities still consider his A Guide to Feasibility Analysis to be the treatise on the subject; and most institutional investors regard his discourse on portfolio management theory for real properties to be their guideline. - from Amzon","",""
"470","Historic Cities and Sacred Sites: Cultural Roots for Urban Futures","","","Ismail Serageldin","","World Bank Publications","",2001,NA,"082134904X",9780821349045,"","F1","Unknown",NA,"Book","A large proportion of the 100 historic cities and nearly 200 sacred sites on the World Heritage List are located in the developing world. Of key concern is how historic cities fare against the population pressures, crumbling infrastructure, and eroding economic base of the developing world.<br /><br />'Historic Cities and Sacred Sites: Cultural Roots for Urban Futures' investigates the effects of overpopulation and poverty on historic cities and sacred sites. It demonstrates that taking care of humanity's cultural heritage can regenerate self-esteem and self-identities of disempowered peoples and revive moribund economies. Consequently, cultural heritage preservation and poverty reduction are closely related.<br /><br />The purpose of this volume is to expand the dialog on state-of-the-art preservation approaches based on actual cases set in a range of economic and social contexts. It provides the reader with a rich treatment of the issues, approaches, and experiences for preserving the cultural roots of urban futures. - from Amzon","Environmental Economics, Sustainable Development, Pollution, Urban Planning & Development, Urban, Social Services & Welfare, City Planning & Urban Development, Cultural Policy, Business Development, Public Policy, Sociology",""
"486","How to Govern India's Mega Cities: Towards Needed Transformation","Center for Policy Research New Delhi","","","","Center for Policy Research New Delhi","Volume 1 Thematic Report",2013,NA,"",NA,"","F1","",NA,"Publication","","",""
"515","Image of the City","Kevin Lynch","","","","MIT Press","",1960,NA,"0262120046",9780262120043,"","F1","Unknown",NA,"Book","<p><b>The classic work on the evaluation of city form.</b></p><p>What does the city's form actually mean to the people who live there? What can the city planner do to make the city's image more vivid and memorable to the city dweller? To answer these questions, Mr. Lynch, supported by studies of Los Angeles, Boston, and Jersey City, formulates a new criterion -- imageability -- and shows its potential value as a guide for the building and rebuilding of cities. The wide scope of this study leads to an original and vital method for the evaluation of city form. The architect, the planner, and certainly the city dweller will all want to read this book.</p> - from Amzon","Urban Planning & Development, City Planning & Urban Development",""
"521","In Search Of The New Public Domain","Maarten Hajer; Arnold Reijndorp","","","","NAi Publishers","",2002,NA,"9056622013",9789056622015,"","F1","Unknown",NA,"Book","The last ten years have witnessed a rediscovery of the concept of public space in the arenas of urban policy-making and design, and an intensification of the debate about the importance of public space for urban society. <I>In Search of the New Public Domain</I> offers a cultural perspective that places current debates about public space within the context of recent social developments, such as the expansion of the urban environment and the creation of the network city. Through theoretical discussions and analyses of practical problems, this publication offers insight and an essential background for professionals involved in the designing of public spaces, a diverse group that includes not only architects and urban planners but also many governmental bodies, organizations and companies. - from Amzon","Architecture, Architecture, Urban Planning & Development, City Planning & Urban Development, Architecture, Public Policy",""
"565","Istanbul: Memories of a City","Orhan Pamuk","","","","Faber And Faber","Later Printing",2017,NA,"0571218334",9780571218332,"","F1","Unknown",NA,"Book","A portrait, by turns intimate and panoramic, of one of the world’s great cities, by its foremost man of letters, author of the acclaimed novels <i>Snow</i> and <i>My Name Is Red</i>.<br><br>Blending reminiscence with history; family photographs with portraits of poets and pashas; art criticism, metaphysical musing, and, now and again, a fanciful tale, Orhan Pamuk invents an ingenious form to evoke his lifelong home, the city that forged his imagination.  He begins with his childhood among the eccentric extended Pamuk family in the dusty, carpeted, and hermetically sealed apartment building they shared. In this place came his first intimations of the melancholy awareness that binds all residents of his city together: that of living in the seat of ruined imperial glories, in a country trying to become “modern” at the dizzying crossroads of East and West. This elegiac communal spirit overhangs Pamuk’s reflections as he introduces the writers and painters (among the latter, most particularly the German Antoine-Ignace Melling) through whose eyes he came to see Istanbul. Against a background of shattered monuments, neglected villas,  ghostly backstreets, and, above all, the fabled waters of the Bosphorus, he presents the interplay of his budding sense of place with that of his predecessors. And he charts the evolution of a rich, sometimes macabre, imaginative life, which furnished a daydreaming boy refuge from family discord and inner turmoil, and which would continue to serve the famous writer he was to become. It was, and remains, a life fed by the changing microcosm of the apartment building and, even more, the beckoning kaleidoscope beyond its walls. <br><br>As much a portrait of the artist as a young man as it is an oneiric Joycean map of the city, <i>Istanbul</i> is a masterful evocation of its subject through the idiosyncrasies of direct experience as much as the power of myth--the dazzling book Pamuk was born to write. - from Amzon","Authors, Memoirs, Travel, Istanbul, General, Travel Writing",""
"583","Jakarta, Semarang, Surabaya: Transformasi (Ketegangan) Sosial di Pusat-pusat Pertumbuhan Pantura","Riwanto Tirtosudarmo; Anas Saidi; M. Bashori Imron; Ana Windarsih; M. Khoirul Muqtafa; Syarfina M. Nadila","","","","PT Gading Inti Prima","",2011,NA,"",9786022211815,"","F1","",NA,"Book","","",""
"585","Jakarta: Estetika Banal","Erik Prasetya","","","","Kepustakaan Populer Gramedia","",2011,NA,"",NA,"","F1","",NA,"Book","","",""
"677","Kitab Solo","Arswendo Atmowiloto","","","","Pemerintah Kota Surakarta","1",2008,NA,"",NA,"","F1","History",NA,"Book","","",""
"678","Kitab Solo","Arswendo Atmowiloto","","","","Pemerintah Kota Surakarta","",2008,NA,"",NA,"","F1","",NA,"Book","","",""
"704","Kota Yogyakarta, 1880-1930: Sejarah perkembangan sosial","Abdurrachman Surjomihardjo","","","","Yayasan Untuk Indonesia","Cet. 1",2017,NA,"9798681339",9789798681332,"","F1","Unknown",NA,"Book","Social history of Yogyakarta City, 1880-1930. - from Amzon","",""
"706","Kota-kota Imajiner","Italo Calvino","","","","Fresh Book","",2006,NA,"9799845998",NA,"","F1","",NA,"Book","","",""
"722","La règle et le modèle: Sur la théorie de l'architecture et de l'urbanisme (Espacements) (French Edition)","Francoise Choay","","","","Seuil","",1980,NA,"2020054639",9782020054638,"","F1","Unknown",NA,"Book","","Architecture, Foreign Language Study & Reference",""
"741","Local Code: The Constitution of a City at 42° North Latitude","Michael Sorkin","","","","Princeton Architectural Press","1",1997,NA,"1878271792",9781878271792,"","F1","Urbanism",NA,"Book","""Local Code is a prescription for urban health that describes the rules for making an ideal city.... Highly precise, technical, and regulatory"". -- Elizabeth Plater-Zyberk, Architectural Record - from Amzon","Buildings, History, Urban & Land Use Planning, Architecture",""
"750","Luzern/Lucerne","Dino Sassi","","","","Photoglob SA, Zurich","1st",1996,NA,"3907530594",9783907530597,"","F1","Unknown",NA,"Book","Luzern/Lucerne - from Amzon","",""
"754","Makassar dari Jendela Pete-Pete. Catatan Seorang Pengguna Jalan","Winarni KS","","","","Penerbit Ininnawa","",2009,NA,"",9786029523102,"","F1","",NA,"Book","","",""
"762","Managing Megacities","K.C. Sivaramakrishnan","","","","Oxford University Press","1",2015,NA,"0199454132",9780199454136,"","F1","Unknown",NA,"Book","This is an elaborate study comparing the five large metropolitan regions of India - Mumbai, Bangalore, Kolkata, Chennai, and Hyderabad. It traces the evolution of urban and metropolitan governance in India and examines the key aspects related to urban dynamics such as urban and regional planning, economic competitiveness, infrastructure and land management, environmental sustainability as well as the challenges in resource mobilization and metropolitan governance. The study is based on an extensive compilation of data on aspects such as demographics, economy, infrastructure, society, environment, political character, and institutions for governance. It provides an introduction to megacities in the Indian context and explains how urbanization was never promoted in the Indian Planning regime. While contributing greatly to the economic growth of the respective states and the country, the physical and demographic growth of these megacities has been accompanied by an ever increasing demand for infrastructure and essential services as well as social and environmental pressures. The governance and management of megacities has thus emerged as a formidable challenge to policymakers, administrators, and urban professionals. This book elucidates how urbanization was inevitable and was finally recognized as an economic and social reality by the Tenth five year plan.<br> - from Amzon","Urban & Regional, Infrastructure, State, Business & Finance, Government",""
"784","Meetings with Remarkable Trees","Thomas Pakenham","","","","Random House","Us ed.",1998,NA,"0375752684",9780375752681,"","F1","Unknown",NA,"Book","","Collections, Catalogues & Exhibitions, Plants & Animals, Pictorials, Trees, Nature Writing & Essays",""
"794","Memboyong 989 PKL. Dari Banjarsari ke Semanggi","","","","","Pemerintah Kota Surakarta","",2007,NA,"",NA,"","F1","",NA,"Book","","",""
"807","Mengenal Alam Pesisir Pulau Seribu","","","","","PT Penerbit IPB Press","1",2009,NA,"",9789794932186,"","F1","Ecology",NA,"Book","","pesisir, ekologi, kepulauan, seribu",""
"825","Merekam Kali Pepe. Menggali (kembali) Pngetahuan Bersama Warga","","","Akhmad Ramdhon; Siti Zunariyah","","Kampungnesia Press","1",2017,NA,"",9786026645050,"","F1","Urbanism",NA,"Book","","",""
"845","Modul Dalam Arsitektur","","","","","Jurusan Arsitektur Fakultas Teknik Universitas Tarumanegara","",1983,NA,"",NA,"","F1","Architecture",NA,"Book","","",""
"874","Negara di Tengah Kota: Politik Representasi dan Simbolisme Perkotaan (Surabaya 1930-1960)","Sarkawi B. Husain","","","","LIPI Press","",2010,NA,"",9789797995430,"","F1","",NA,"Book","","",""
