"","Title","Authors","Co.authors","Editors","Illustrators","Publisher","Edition","Year","Volume","ISBN","ISBN13","ISSN","Call.No","Category","Subject","Type","Description","Tags","Series"
"13","2014 World Disasters Report: Focus on Culture and Risk","International Federation of Red Cross and Red Crescent Societies","","","","International Federation of Red Cross and Red Crescent Socie","",2017,NA,"9291392146",9789291392148,"","G1","Unknown",NA,"Book","2014 World Disasters Report focuses on culture and risk. It explores the different ways in which culture affects disaster risk reduction and climate change adaptation and how disasters and risk influence culture. It examines why people choose to live in hazard-prone locations, and how culture and beliefs enable them to live with the risks they face. The report looks at the organizational culture of agencies working in the fields of disaster risk reduction and adaptation, and challenges the widespread faith in community-based activities. It also considers culture in relation to housing and reconstruction, and healthcare and medicine. Finally, the document indicates starting points for organizations to better align their actions with the way people think and act. The World Disasters Report 2014 features: (i) the links between culture and risk; (ii) how religion and beliefs influence perceptions of and attitudes towards risk; (iii) taking livelihoods seriously; (iv) the myth of community?; (v) culture, risk and the built environment; (vi) culturally sensitive public health: the HIV/AIDS disaster and beyond; (vii) putting culture at the centre of risk reduction; (viii) disaster data. - from Amzon","",""
"36","A History of Philosophy (Book One: Vol. I - Greece & Rome; Vol. II - Augustine to Scotus; Vol. III -Ockham to Suarez)","Frederick Copleston","","","","Image","",1985,NA,"0385230311",9780385230315,"","G1","Philosophy, History",NA,"Book","A History of Philosophy (Book One: Vol. I - Greece - from Amzon","",""
"37","A History of Philosophy (Book Two: Volume IV - Descartes to Leibniz; Volume V - Hobbes to Hume; Volume VI - Wolff to Kant)","Frederick Copleston","","","","Image","1st",1985,NA,"038523032X",9780385230322,"","G1","Unknown",NA,"Book","Here in one convenient volume are Volumes IV, V, and VI - complete and unabridged - of the acclaimed reference work that has dominated the field of phlosophy for two decades.

Volume IV discusses the philosophies of Descartes, Pascal, Malebranche, Spinoza, and Leibniz. Volume V covers British philosophy during the seventeenth and eighteenth centuries, marked by such giants as Hobbes, Locke, Berkeley, and Hume, as well as other movements of far-reaching significance. Copleston takes up the eighteenth-century continental philosophers in Volume VI - beginning with the French Enlightenment (including Fontenelle, Helvétius, Robinet, Rousseau) and then going to the German Enlightenment (which includes the work of Lessing and Wolff) and finally to an intense treatment of Immanuel Kant.

These individual volumes have been hailed as ""profound and well organized ... a remarkable accomplishment [marked by] dispassionate objectivity ... a magnificent survey."" Now available as a three-in-one paperback, it will be welcomed by students and scholars of modern philosophy as a reference work that no library should be without. - from Amzon","",""
"38","A History of Philosophy: Book Three (Volume VII, Fichte to Nietzsche, Volume VIII, Bentham to Russell, Volume IX, Maine De Biran to Sartre)","Frederick Copleston","","","","Doubleday & Company, Inc.","",1985,NA,"0385230338",9780385230339,"","G1","Unknown",NA,"Book","Here in one convenient volume are Volumes VII, VIII, and IX - complete and unabridged - of the acclaimed reference work that has dominated the field of philosophy for two decades. Volume VII considers such world-famous modern Western philosophers as Fichte, Schelling, Schleiermacher, Hegel, Schopenhauer Kierkegaard, and Nietzsche. Volume VIII, on British empiricism, the idealist movement in Great Britain, idealism in America, the pragmatist movement, and the revolt against idealism, covers such thinkers as Bentham, Herbert Spencer, T. H. Green, Bradley, Bosanquet, Royce, C. S. Peirce, William James, G. E. Moore, John Dewey, and Bertrand Russell. Volume IX presents the prominent French philosophical thinkers of the nineteenth and twentieth centuries, with full attention to the themes of human freedom and man in society - including Maine de Biran, Comte, Henri Bergson, Garrigou-Lagrange, and Sartre.

These individual volumes have been hailed as ""objective, yet critical. . . significant. . . clear-sighted. . . intelligent. . . unrivalled."" Now available as a three-in-one paperback, it will be welcomed by new and seasoned students and scholars of modern philosophy as a reference work that no library should be without. - from Amzon","",""
"55","Adventures of Ideas","Alfred North Whitehead","","","","The Macmillan Company","First American Edition",1933,NA,"0026272202",9780026272209,"","G1","Unknown",NA,"Book","Attempts to assess the differences between ancient and contemporary philosophical thought on the nature of society - from Amzon","World, Modern, History",""
"73","All that is solid melts into air. the experience of modernity","Marshall Berman","","","","Verso","",1985,NA,"0860917851",9780860917854,"","G1","Unknown",NA,"Book","","",""
"81","An Inconvenient Truth : The Planetary Emergency of Global Warming and What We Can Do about It","Al Gore","","","","Rodale Books","First Edition",2017,NA,"0747589062",9780747589068,"","G1","Unknown",NA,"Book","Gore's bestselling book is now adapted for perhaps the most important audience of all: today's youth, who have no choice but to confront the planetary emergency head-on. Bursting with color photos, this book clearly explains global warming. (Environmental Studies) - from Amzon","",""
"141","Banjir Jakarta dan Solusinya","Ir. Tarjuki, MT","","","","Lembaga Pengkajian Kebudayaan Nusantara (LPKN)","",2014,NA,"",9789799515759,"","G1","",NA,"Book","","",""
"152","Behind the Green Door: A Critical Look at Sustainable Architecture Through 600 Objects","Oslo Architecture Triennale","","","","Oslo Arkitekturtriennale","",2014,NA,"8299937019",9788299937016,"","G1","Unknown",NA,"Book","","",""
"218","Burung-burung di Sumatera, Jawa, Bali dan Kalimantan (Termasuk Sabah, Sarawak dan Brunei Darussalam)","John MacKinnon","","","","Puslitbang Biologi - LIPI","1",1992,NA,"9795790137",NA,"","G1","Nature",NA,"Book","","","LIPI - Seri Panduan Lapangan"
"257","Clean, Green and Blue Singapore's Journey Towards Environmental and Water Sustainability","","","","","Institute of Southeast Asian Studies","",NA,NA,"9812308601",9789812308603,"","G1","Unknown",NA,"Book","","",""
"275","Consequences of Modernity","Anthony Giddens","","","","Wiley-Blackwell","",1991,NA,"0745609236",9780745609232,"","G1","Unknown",NA,"Book","Consequences of Modernity - from Amzon","",""
"283","Cradle to Cradle: Remaking the Way We Make Things","Michael Braungart; William McDonough","","","","North Point Press","1st",2002,NA,"0865475873",9780865475878,"","G1","Design",NA,"Book","","Environmental Economics, Industrial Relations, Manufacturing, Environmental, Industrial Design, Ecology, Environmental Science, Conservation, Technology, Environmentalism, Sports & Outdoors, Environmental Policy",""
"301","Delta Primer: A Field Guide to the California Delta","Jane Wolff","","","","William K Stout Pub","",2003,NA,"0970973179",9780970973177,"","G1","Unknown",NA,"Book","Growing worldwide interest in water systems makes this provocative examination of Northern California's Sacramento-San Joaquin River Delta far more important than its regional focus suggests. As author Wolff presents the story of the land and water through images, historical data and an intricate mapping system, Delta Primer frames public discussion about the transformation of the American landscape. - from Amzon","Landscape, State & Local, United States, Architecture",""
"334","Ecological Economics: Principles and Applications","Joshua Farley; Herman E. Daly","","","","Island Press","1",2003,NA,"1559633123",9781559633123,"","G1","Unknown",NA,"Book","<p>Conventional economics is often criticized for failing to reflect adequately the value of clean air and water, species diversity, and social and generational equity. By excluding biophysical and social systems from their analyses, many conventional economists overlook problems of the increasing scale of human impacts and the inequitable distribution of resources.<p>Ecological Economics is an introductory-level textbook for an emerging paradigm that addresses this flaw in much economic thought. The book defines a revolutionary ""transdiscipline"" that incorporates insights from the biological, physical, and social sciences, and it offers a pedagogically complete examination of this exciting new field. The book provides students with a foundation in traditional neoclassical economic thought, but places that foundation within a new interdisciplinary framework that embraces the linkages among economic growth, environmental degradation, and social inequity.<p>Introducing the three core issues that are the focus of the new transdiscipline -- scale, distribution, and efficiency -- the book is guided by the fundamental question, often assumed but rarely spoken in traditional texts: What is really important to us? After explaining the key roles played by the earth's biotic and abiotic resources in sustaining life, the text is then organized around the main fields in traditional economics: microeconomics, macroeconomics, and international economics. The book also takes an additional step of considering the policy implications of this line of thinking.<p><I>Ecological Economics</I> includes numerous features that make it accessible to a wide range of students:<ul><li> more than thirty text boxes that highlight issues of special importance to students<li> lists of key terms that help students organize the main points in each chapter<li> concise definitions of new terms that are highlighted in the text for easy reference<li> study questions that encourage student exploration beyond the text<li> glossary and list of further readings</ul><p>An accompanying workbook presents an innovative, applied problem-based learning approach to teaching economics.<p>While many books have been written on ecological economics, and several textbooks describe basic concepts of the field, this is the only stand-alone textbook that offers a complete explanation of both theory and practice. It will serve an important role in educating a new generation of economists and is an invaluable new text for undergraduate and graduate courses in ecological economics, environmental economics, development economics, human ecology, environmental studies, sustainability science, and community development. - from Amzon","Environmental Economics, Sustainable Development, Biology, Ecology, Economics, Business Development, Ecology",""
"355","Environmental and Natural Resource Economics","Tom Tietenberg","","","","Pearson Addison Wesley","Seventh Edition",NA,NA,"0321311523",9780321311528,"","G1","Unknown",NA,"Book","","Environmental Economics, Environmental Policy, Natural Resources, Raw Materials, Government Policy",""
"376","Filsafat Dewasa Ini","Prof. Dr. R.F. Beerling","","","","Dinas Penerbitan Balai Pustaka","",1961,NA,"",NA,"","G1","",NA,"Book","","",""
"475","History and Truth","Paul Ricoeur","","","","Northwestern University Press","",1992,NA,"081010542X",9780810105423,"","G1","Unknown",NA,"Book","<div>In this volume, Paul Ricoeur investigates the antinomy between history and truth, or between historicity and meaning. He argues that history has meaning insofar as it approaches universality and system, but has no meaning insofar as this universality violates the singularity of individuals' lives. Imposing unity upon truth, or unifying the diversity of knowledge and opinion, creates a singular and universal history but destroys historicity and subjectivity. Allowing for singularities in history promotes a multiplicity of truths over a single, unique truth, and thereby annihilates system<BR></div> - from Amzon","",""
"546","INQUIRY BY DESIGN: Tools for Environment-Behavior Research","","","","","Cambridge University Press","",1984,NA,"",NA,"","G1","Design",NA,"Book","","",""
"603","Journey Deep into Kapuas Hulu, One of the World's Last Frontier. Heart of Borneo. The Authentic Experience.","Deny Sofian; Veny Hartinie","","","","Kapuas Hulu Culture and Tourism Board","",2012,NA,"",NA,"","G1","",NA,"Book","","",""
"604","Journey into Kayong Utara, One Stop Destination. The Wild and Unspoiled Borneo. The Complete Experience.","Deny Sofian; Veny Hartinie","","","","Kayong Utara Culture and Tourism Board","",2015,NA,"",NA,"","G1","",NA,"Book","","",""
"654","Katalog Taman Jakarta Pusat","","","","","Dinas Pertamanan Provinsi Daerah Khusus Ibukota Jakarta","",2007,NA,"",9789791723800,"","G1","",NA,"Book","","",""
"688","Kompromi Jalur Ideal Menuju Demokrasi","","","","","Friedrich-Ebert-Stiftung (FES)","",2012,NA,"",NA,"","G1","Social Activism",NA,"Book","","","Thomas Mayer"
