"","Title","Authors","Co.authors","Editors","Illustrators","Publisher","Edition","Year","Volume","ISBN","ISBN13","ISSN","Call.No","Category","Subject","Type","Description","Tags","Series"
"6","@rchipelago online. The Internet and Political Activism in Indonesia","Merlyna Lim","","","","","",2005,NA,"",9789036522298,"","H3","Social Activism",NA,"Book","","",""
"28","A Concise Guide to Macroeconomics: What Managers, Executives, and Students Need to Know","David A. Moss","","","","Harvard Business Review Press","5.2.2007",2007,NA,"1422101797",9781422101797,"","H3","Unknown",NA,"Book","<div>Now more than ever before, executives and managers need to understand their larger economic context. In A Concise Guide to Macroeconomics, David Moss leverages his many years of teaching experience at Harvard Business School to lay out important macroeconomic concepts in engaging, clear, and concise terms. In a simple and intuitive way, he breaks down the ideas into output,” money,” and expectations.” In addition, Moss introduces powerful tools for interpreting the big-picture economic developments that shape events in the contemporary business arena. Detailed examples are also drawn from history to illuminate important concepts.<BR><BR>This book is destined to become a staple in MBA coursesas well as the go-to resource for executives and managers at all levels seeking to brush up on their knowledge of macroeconomic dynamics.<BR></div> - from Amzon","Macroeconomics, Macroeconomics",""
"40","A Nan Takana (Apa yang Teringat)","H. Marthias Dusky Pandoe","","","","Penerbit Buku Kompas","1",2001,NA,"9797090027",NA,"","H3","Biography",NA,"Book","","",""
"45","A Tour of the Calculus","David Berlinski","","","","Pantheon Books","1st",1995,NA,"0679426450",9780679426455,"","H3","Unknown",NA,"Book","In its largest aspect, the calculus functions as a celestial measuring tape, able to order the infinite expanse of the universe. Time and space are given names, points, and limits; seemingly intractable problems of motion, growth, and form are reduced to answerable questions. Calculus was humanity's first attempt to represent the world and perhaps its greatest meditation on the theme of continuity. Charts and graphs throughout. - from Amzon","Calculus, Calculus",""
"201","Buddha (Penguin Lives)","Karen Armstrong","","","","Viking","1st",2001,NA,"0670891932",9780670891931,"","H3","Unknown",NA,"Book","","Religious, Buddhism, History",""
"293","Dari Buku ke Buku: Sambung Menyambung Menjadi Satu (Indonesian Edition)","P. Swantoro","","","","Kepustakaan Populer Gramedia","",2016,NA,"6026208232",9786026208231,"","H3","Unknown",NA,"Book","<p>Sinopsis:  <p>“Membaca buku [ini] mengasyikkan untuk saya. Lancar dan mengalir seperti membaca ceritera. Story-telling, begitulah gayanya. [P. Swantoro] benar-benar seorang sejarawan, yang cermat terhadap sumber. Setiap kali muncul suatu peristiwa atau komentar bukan saja disebutkan oleh siapa, tetapi juga sekaligus dalam penerbitan apa, siapa pengarangnya, siapa penerbitnya, tahun penerbitan, dan halaman berapa. <br>-Jakob Oetama, <br>Pemimpin Umum Harian Kompas  <p>Karya ini bukan sekedar kisah seorang bibliofili seperti Philobiblon karya Richard de Bury, uskup Durban, yang terbit pada 1473, tetapi terlebih merupakan lantunan kegirangan bekerja, semangat, dan gairah hidup sang pencerita berkat pesona buku. Memang, bukan tanpa alasan kalau karya ini diberi judul Dari Buku ke Buku Sambung Menyambung Menjadi Satu. Bukan lagi buku per buku yang penting, melainkan perasaan, kesadaran, dan pengertian baru yang lebih kuat tentang kehidupan, yang disumbangkan oleh seluruh buku.  <p>Tidak kurang daripada 200 buku diceritakan di sini dengan cara yang demikian rupa sehingga tampil seolah-olah pribadi yang hidup: bagaimana buku lahir, berkembang, bergerak dan menggerakkan sang pencerita dalam kegiatannya sehari-hari. Di latar-belakang masih tersembunyi sekitar tiga-ribuan buku lain milik pribadi sang pencerita yang memancarkan pengaruhnya, kendati tidak bisa dapat tempat lagi untuk diceritakan. Sang pencerita hendak memindahkan sebagian buku itu ke museum khusus di daerah tempat lahirnya, Yogyakarta, dan sebagian lagi di rumahnya, dengan harapan akan dimanfaatkan oleh umum. Lewat karyanya ini ia terlebih dulu ingin bercerita kepada cucu-cucunya, dan dengan itu kepada generasi mereka. - from Amzon","",""
"338","Economics of Development","Malcolm Gillis; Dwight H. Perkins; Michael Roemer; Donald R. Snodgrass","","","","W. W. Norton & Company","2nd",1987,NA,"0393956032",9780393956030,"","H3","Unknown",NA,"Book","This textbook offers information on world population and health, the debt crisis of the developing world, and the strengths and weaknesses of market-oriented economic reforms. It emphasizes structural adjustment and draws practical examples from South America, Asia and Africa. - from Amzon","",""
"341","Economix: How and Why Our Economy Works (and Doesn't Work) in Words and Pictures","Michael Goodwin; David Bach; Joel Bakan","","","","Harry N. Abrams","",2012,NA,"0810988399",9780810988392,"","H3","Unknown",NA,"Book","<div>Stimulus plans: good or bad? Free markets: How free are they? Jobs: Can we afford them? Occupy Wall Street . . . worldwide!<br>Everybody's talking about the economy, but how can we, the people, understand what Wall Street or Washington knows--or say they know? Read <i>Economix</i>.<br>With clear, witty writing and quirky, accessible art, this important and timely graphic novel transforms ""the dismal science"" of economics into a fun, fact-filled story about human nature and our attempts to make the most of what we've got . . . and sometimes what our neighbors have got. <i>Economix </i>explains it all, from the beginning of Western economic thought, to markets free and otherwise, to economic failures, successes, limitations, and future possibilities. It's the essential, accessible guide to understanding the economy and economic practices. A must-read for every citizen and every voter.<br><br><b>PRAISE FOR <i>ECONOMIX</i></b><br><b></b>""<i>Economix</i> is a lively, cheerfully opinionated romp through the historical and intellectual foundations of our current economy and our current economic problems. Goodwin has a knack for distilling complex ideas and events in ways that invite the reader to follow the big picture without losing track of what actually happened. Any reader wondering how our economy got to where it is today will find this a refreshing overview."" --<b>Timothy W. Guinnane</b>, Philip Golden Bartlett Professor of Economic History, Yale University<i> </i></div><br><div>""[<i>Economix</i>] brings a lively visual sensibility to this intensely abstruse subject matter without condescending to the reader or dumbing the ideas down."" --MotherJones.com</div><div><br><b>""</b>This witty and elegant volume takes on a number of complex issues--in this case, economics, history and finance--and makes them comprehensible for mere mortals."" --<i>Miami Herald </i><br><br>""It's simply phenomenal. You could read ten books on the subject and not glean as much information."" -- <b>David Bach</b> founder of FinishRich Media; author of nine <i>New York Times</i> bestsellers, including <i>Debt Free for Life</i> and <i>The Automatic Millionaire</i><br><br>""Goodwin has done the seemingly impossible--he has made economics comprehensible <i>and</i> funny.""--<b>Joel Bakan</b>, author of <i>The Corporation</i>: <i>The Pathological Pursuit of Profit and Power</i><br><br>""An amazing lesson in true-world economics! Delightfully presented, powerful, insightful, and important information! What a fun way to fathom a deep and often dark subject!"" <b>--</b><b>John Perkins</b>, author of <i>Hoodwinked</i> and the <i>New York Times</i> bestseller <i>Confessions of an Economic Hit Man</i><br><br>""Smart, insightful, clear, and as close to the truth as economics can get. The bonus: Who would have guessed that economics could be fun, and--here's the joy--really accessible? Goodwin roots us in history and fills us with common sense understanding. As he puts it early on, economics seems horribly complicated mostly because we're looking at it all at once. Broken down into its component pieces, it's relatively easy to understand. And a good understanding of economics is critical to maneuvering in the world today. If I were compiling a list of the 100 most important books you can read in a lifetime, this would be on it."" --<b>Stephen Petranek</b>, editor-in-chief, Weider History magazines, former editor-in-chief of <i>Discover</i> magazine<br><br>""Through a potent mix of comics and punchy, concise, accessible prose, Goodwin takes us on a provocative, exhaustively researched, and exceedingly engaging trip through our history and present day, creating an alternately hilarious and scary picture of where we are today as an economy<b>-- </b>and what it all means. More than that, Goodwin makes the arcane, understandable. If your mind either spins or slumbers at the thought of economics, read Goodwin's <i>Economix</i> and all will become clear. <b>--</b><b>Nomi Prins</b>, author of <i>It Takes a Pillage: An Epic Tale of Power, Deceit, and Untold Trillions</i></div> - from Amzon","Economic History, Theory, Educational & Nonfiction, Biographies & History",""
"357","Environmental Ecnomics","Barry C. Field; Martha K. Field","","","","McGraw-Hill","Fourth",NA,NA,"",NA,"","H3","economy",NA,"Book","","",""
"364","Essential Economics (Economist Essentials)","Matthew Bishop","","","","Bloomberg Press","1",2004,NA,"1861975805",9781861975805,"","H3","Unknown",NA,"Book","<DIV>Here is the essence of economics, arranged alphabetically for easy reference and written with the clarity and authority for which ""The Economist is renowned. ""Essential Economics contains the substantive information that those in business, finance, and other professions need to understand. For many, ""the joy of economics is a contradiction in terms. Yet in a compelling introduction, Matthew Bishop, business editor at ""The Economist, offers a lively explanation of what economics is about and covers its applicability in modern business. This is followed by an expansive A--Z with several hundred entries that explain the essentials of economics as well as some of its more-arcane aspects. Packaged attractively in a paperback with flaps, ""Essential Economics is a clear, concise reference that complements any business library.</div> - from Amzon","Economics, Reference",""
